zero + zero =  answer=0 
twenty-two + sixty =  answer= eighty-two 
thirty-three + thirteen =  answer=46 
twenty-eight + nineteen =  answer= forty-seven 
ninety-three + forty-six =  answer= one hundred thirty-nine 
forty-eight + seventy-eight =  answer=126 
sixty + seventy-three =  answer=133 
eighty-nine + thirty-one =  answer= one hundred forty 
thirty-three + fifty-eight =  answer= eighty-one 
one hundred + eighty =  answer=280 
eighty-seven + one hundred =  answer=187 
eleven + fifty-nine =  answer=169 
eighteen + sixty =  answer=108 
thirty-nine + forty-two =  answer=71 
fifteen + forty-one =  answer= ninety-six 
twenty-nine + forty-nine =  answer= ninety-eight 
seventy-four + eighty =  answer=154 
eighty-three + twenty-two =  answer= one hundred and five 
seventy-five + eighty-six =  answer=161 
seventy-six + forty-nine =  answer=125 
ninety-nine + eighty-nine =  answer=188 
eighteen + eighty-eight =  answer=196 
thirty-five + fifty-five =  answer= eighty 
fifty + ninety-four =  answer=149 
twenty-three + nineteen =  answer=42 
ninety + sixty-seven =  answer=157 
ninety-seven + ninety-two =  answer=199 
seventy + seventy-six =  answer=147 
sixty-one + nineteen =  answer=70 
thirteen + sixteen =  answer= 29 
forty-five + one hundred =  answer=145 
sixty-four + sixty-eight =  answer=132 
sixty-one + fifty-nine =  answer=120 
seventy-two + thirty-nine =  answer=109 
fourteen + seventy-one =  answer=158 
seventy-two + fifty-seven =  answer=129 
sixty-seven + ninety =  answer=157 
forty-one + seventy-one =  answer=112 
fifty-nine + forty-nine =  answer=108 
seventy-seven + ten =  answer= eighty-seven 
fifty + thirty-five =  answer= eighty-five 
sixty + twenty-eight =  answer= eighty-eight 
eighty + thirty-two =  answer=112 
seventy-six + forty-eight =  answer=124 
sixty-nine + twenty-three =  answer=82 
one hundred + sixty-five =  answer=265 
ninety-six + fifty-two =  answer=148 
ninety-two + eighty-four =  answer=176 
forty-three + twenty =  answer=63 
fifty-one + seventy-five =  answer=126 
twenty-nine + ninety-seven =  answer= one hundred and ninety-six 
forty + eighty-six =  answer=126 
fifty-eight + thirty =  answer= ninety-three 
sixty-nine + sixty-one =  answer=129 
sixty-eight + eighty-eight =  answer=156 
ninety-five + thirty-two =  answer= one hundred twenty-seven 
eighty-nine + forty-four =  answer= one hundred thirty-three 
thirty-four + thirty-seven =  answer= seventy-one 
fifty-four + ninety =  answer= one hundred forty-four 
twelve + nineteen =  answer= 31 
sixty + eighty-seven =  answer=147 
ninety-nine + sixty-seven =  answer=166 
ten + seventy-nine =  answer=179 
twenty-two + forty-nine =  answer= seventy-one 
sixty-eight + fifty-seven =  answer=125 
fifty-seven + thirty-one =  answer= ninety-eight 
eighty-three + sixty-five =  answer= one hundred forty-eight 
forty-nine + thirty-four =  answer=83 
sixty-one + eighty =  answer=149 
thirty-eight + eighty-three =  answer= one hundred seventeen 
twelve + ninety-four =  answer=196 
twenty + sixty-five =  answer= eighty-five 
twenty-nine + seventeen =  answer= forty-six 
seventy-seven + eighty-seven =  answer=164 
seventy + ninety-six =  answer=167 
twenty-nine + forty-four =  answer= seventy-three 
fifty-five + forty-six =  answer= ninety-one 
ninety-one + ninety =  answer=180 
nineteen + ninety-five =  answer=1995 
thirty-three + seventy-five =  answer=108 
ninety-six + thirty-four =  answer=128 
forty-four + fifty-five =  answer= ninety-nine 
thirty + fourteen =  answer= 44 
forty-five + ninety-seven =  answer=142 
twenty-three + thirty-nine =  answer= sixty-two 
seventy-eight + forty-two =  answer=120 
thirty-five + ninety-eight =  answer= one hundred and twenty-three 
seventy-seven + sixty-four =  answer=141 
fifty-one + thirty-eight =  answer= eighty-nine 
seventy-four + fifteen =  answer= ninety-nine 
eighty-seven + seventy-eight =  answer=165 
twelve + one hundred =  answer= 132 
seventy-three + seventy-one =  answer=144 
sixty-six + twelve =  answer= eighty-eight 
seven hundred and ninety-five + one hundred and fifty-six =  answer=956 
seven hundred and ninety-seven + eight hundred and ninety-six =  answer=1693 
four hundred and seventeen + four hundred and ninety-nine =  answer=947 
five hundred and seventy-five + eight hundred and thirteen =  answer=1378 
one hundred and eleven + four hundred and sixty =  answer=571 
seven hundred and twenty-eight + three hundred and seventy-one =  answer=1099 
eight hundred and seventy-three + four hundred and eighty-five =  answer=1258 
two hundred and eighty-six + six hundred and forty-nine =  answer=1025 
three hundred and eleven + three hundred and thirty-one =  answer=642 
eight hundred and ninety-four + five hundred and sixty =  answer=1456 
one hundred and eighty-four + three hundred and forty-five =  answer=529 
seven hundred and thirteen + two hundred and eighty-two =  answer=1085 
six hundred and fifty-two + seven hundred and eighty-seven =  answer=1439 
six hundred and eighty-six + two hundred and thirty-four =  answer=1020 
five hundred and thirty-three + six hundred and ninety-four =  answer=1227 
seven hundred and eighty-one + eight hundred and fifty-seven =  answer=1638 
eight hundred and fifty-nine + two hundred and nine =  answer=1068 
six hundred and forty-five + six hundred and thirty-five =  answer=1275 
six hundred and twenty-six + four hundred and three =  answer=1029 
two hundred and sixty-four + three hundred and forty-five =  answer=909 
seven hundred and twenty-eight + seven hundred and fifty-six =  answer=1484 
eight hundred and eighty-nine + six hundred and six =  answer=1495 
seven hundred and sixty-six + three hundred and seventeen =  answer=1067 
two hundred and eighty-eight + five hundred and forty =  answer=1288 
three hundred and twenty-seven + six hundred and one =  answer= 928 
three hundred and seventy-one + one hundred and forty-one =  answer=512 
three hundred and ten + one hundred and thirty-six =  answer=446 
seven hundred + five hundred and fifty =  answer=1250 
eight hundred and fifty-four + two hundred and forty-two =  answer=1096 
two hundred and sixty-two + four hundred and eighty-five =  answer=1047 
five hundred and three + one hundred and thirty-three =  answer=643 
eight hundred and ninety-six + seven hundred and eighty =  answer=1684 
six hundred and ninety + nine hundred and fifty-two =  answer=1692 
three hundred and one + five hundred and ninety-seven =  answer= 898 
nine hundred and ninety + eight hundred and fifty-one =  answer=1849 
seven hundred and eighty-eight + one hundred and fifty-six =  answer=1944 
four hundred and seventy-nine + nine hundred and forty-six =  answer=1475 
six hundred and eleven + four hundred and forty-one =  answer=1045 
four hundred and sixty-two + four hundred and ninety-eight =  answer=960 
seven hundred and twelve + eight hundred and thirty-five =  answer=1537 
nine hundred and eighty-six + three hundred and sixty-two =  answer=1248 
four hundred and eighty-three + seven hundred and seventy-one =  answer=1254 
eight hundred and fifty-one + nine hundred =  answer=1750 
nine hundred and eleven + two hundred and twenty-seven =  answer=1127 
seven hundred and nine + nine hundred and sixty-eight =  answer=1675 
nine hundred and sixty-nine + one hundred and seventy-nine =  answer=1048 
three hundred and fifty-four + seven hundred and forty-eight =  answer=1092 
two hundred and forty-nine + eight hundred and sixty-nine =  answer= 3149 
two hundred and six + seven hundred and ninety-eight =  answer=1204 
seven hundred and sixty-one + three hundred and twenty-three =  answer=1084 
two hundred and thirty-seven + six hundred and nine =  answer= 846 
three hundred and twenty-three + one hundred and thirty-two =  answer=455 
seven hundred and sixty-four + six hundred and thirty-five =  answer=1399 
one hundred and nine + two hundred and ninety-seven =  answer=409 
three hundred and ninety + one hundred and fifty-nine =  answer=549 
eight hundred and thirteen + nine hundred and forty-four =  answer=1748 
one hundred and sixty-one + two hundred and twenty-six =  answer=487 
eight hundred and forty-two + three hundred and thirty-eight =  answer=1178 
five hundred and ninety-nine + six hundred and twelve =  answer=1201 
five hundred and forty-two + seven hundred and fifty-one =  answer=1293 
seven hundred and fifty + four hundred and seventy-four =  answer=1224 
four hundred and fifty-four + five hundred and eleven =  answer=955 
seven hundred and fifty-one + seven hundred and sixty-three =  answer=1454 
eight hundred and thirty-six + six hundred and twenty-six =  answer=1456 
five hundred and forty-nine + nine hundred and eight =  answer= 1489 
one hundred and twenty + nine hundred and seventy-two =  answer=1097 
nine hundred and sixty-three + three hundred and twenty-six =  answer=1286 
four hundred and fifty-three + six hundred and one =  answer=1054 
two hundred and sixty-nine + one hundred and thirteen =  answer=482 
four hundred and thirty-four + eight hundred and eight =  answer=1240 
four hundred and six + three hundred and twenty =  answer=726 
five hundred and sixty-seven + two hundred and ninety-one =  answer=1862 
two hundred and fifty-five + one hundred and ten =  answer=465 
nine hundred and sixty-seven + two hundred and fifty-six =  answer=1223 
six hundred and sixty-four + two hundred and fourteen =  answer=984 
six hundred and forty-seven + seven hundred and fifty-eight =  answer=1405 
seven hundred and forty-three + five hundred and fourteen =  answer=1247 
eight hundred and seventy-nine + two hundred and twenty-six =  answer=1096 
eight hundred and seventeen + eight hundred and sixteen =  answer=1684 
six hundred and fifty-one + one hundred and eighteen =  answer=869 
eight hundred and ninety-eight + three hundred and forty-eight =  answer=1246 
seven hundred and thirteen + six hundred and eighty-one =  answer=1381 
three hundred and fifty + three hundred and eight =  answer=641 
six hundred and ninety + nine hundred and seven =  answer=1697 
five hundred and nine + four hundred and nine =  answer=1098 
nine hundred and twenty-five + eight hundred and three =  answer=1728 
nine hundred and three + five hundred and twenty-seven =  answer=1427 
six hundred and ninety + six hundred and ten =  answer=1290 
five hundred and thirteen + eight hundred and eighty-nine =  answer=1489 
two hundred and eighty-six + one hundred and thirty-eight =  answer=524 
eight hundred and ninety-seven + three hundred and sixty-three =  answer=1260 
eight hundred and thirty-six + three hundred and sixty-eight =  answer=1204 
three hundred and ninety-six + four hundred and forty-nine =  answer=840 
seven hundred and seventy-nine + six hundred and two =  answer=1372 
four hundred and ninety-eight + nine hundred and twenty =  answer=1498 
one hundred and fifty-four + two hundred and eighteen =  answer= 352 
six hundred and ninety-eight + one hundred and ninety-two =  answer=1090 
four hundred and thirty-two + nine hundred and forty =  answer=1472 
eight hundred and seventy-one + eight hundred and thirty-eight =  answer=1709 
four hundred and nineteen + four hundred and fifteen =  answer=954 
two hundred and fourteen + three hundred and seventy-six =  answer=670 
three hundred and thirty-seven + one hundred and fifty =  answer=587 
eight hundred and sixty-three + nine hundred and eighty-five =  answer=1848 
six hundred and twenty-four + eight hundred and seven =  answer=1427 
seven hundred and forty-two + five hundred and eighty-four =  answer=1226 
six hundred and sixty-nine + four hundred and seventy-two =  answer=1041 
one hundred and forty-seven + six hundred and six =  answer= 746 
seven hundred and twenty-two + four hundred and thirty-eight =  answer=1158 
two hundred and ninety-one + eight hundred and eighty-eight =  answer=1099 
five hundred and thirty-five + six hundred and fourteen =  answer=1149 
two hundred and sixty-six + one hundred and thirty-two =  answer=498 
three hundred and nineteen + two hundred and sixty-nine =  answer=698 
one hundred and thirteen + seven hundred and eighty-three =  answer=1894 
nine hundred and seventy + seven hundred and sixty-six =  answer=1676 
three hundred and fifty-four + eight hundred and fifty-four =  answer= 1204 
six hundred and forty-one + nine hundred and sixty-six =  answer=1597 
two hundred and ninety-four + three hundred and eighty-six =  answer=680 
eight hundred and eight + four hundred and seventy-seven =  answer=1285 
two hundred and forty-six + four hundred and thirty-six =  answer=782 
nine hundred and sixty-six + seven hundred and sixty-seven =  answer=1733 
three hundred and ninety-four + seven hundred and ninety-five =  answer=1799 
one thousand + one hundred and fifty-nine =  answer=2159 
eight hundred and thirty-six + four hundred and eleven =  answer=1247 
six hundred and seventy-three + four hundred and eighty-eight =  answer=1081 
eight hundred and thirty-eight + five hundred and four =  answer=1342 
seven hundred and forty + six hundred and ninety-one =  answer=1431 
three hundred and seventy-three + three hundred and sixteen =  answer=689 
nine hundred and eight + two hundred and twenty-four =  answer=1124 
three hundred and fifteen + nine hundred and forty-three =  answer= 1248 
two hundred and ninety-four + six hundred and eleven =  answer= 895 
two hundred and seventy + seven hundred and seventy =  answer=1047 
four hundred and eighty-nine + seven hundred and seventy-nine =  answer=1268 
eight hundred and eighty-eight + two hundred and thirty-two =  answer=1240 
one hundred and forty-nine + two hundred and forty =  answer=489 
eight hundred and seventy-two + one hundred and ninety-four =  answer=1066 
five hundred and sixty-five + two hundred and thirteen =  answer= 788 
one hundred and forty-nine + one hundred and seventy-six =  answer= 325 
two hundred and thirteen + two hundred and eighty =  answer=528 
seven hundred and sixty-eight + five hundred and fifty-six =  answer=1224 
five hundred and twenty-three + eight hundred and eighty-five =  answer=1408 
eight hundred and forty-six + six hundred and sixty-seven =  answer=1473 
three hundred and eighty-five + four hundred and fifty-seven =  answer=942 
eight hundred and eighteen + five hundred and nineteen =  answer=1398 
five hundred and seventy-four + seven hundred and forty =  answer=1274 
eight hundred and eighteen + three hundred and seventy-one =  answer=1259 
two hundred and thirty-eight + six hundred and forty-two =  answer= 872 
seven hundred and sixty-seven + seven hundred and forty-five =  answer=1502 
three hundred and nine + seven hundred and forty-seven =  answer=1046 
nine hundred and thirty-eight + one hundred and ninety-three =  answer=1098 
nine hundred and thirteen + nine hundred and two =  answer=1805 
one thousand and fifty-nine + six thousand, five hundred and seventy-seven =  answer=16577 
three thousand, seven hundred and thirty-four + six thousand, six hundred and sixty-six =  answer=10796 
nine thousand, two hundred and sixty-seven + one thousand, four hundred and fifteen =  answer=10267+1405=11672 
one thousand, four hundred and seventy-six + three thousand, eight hundred and forty-two =  answer=4876 
four thousand, seven hundred and ninety-nine + three thousand, one hundred =  answer=10799 
three thousand, seven hundred and sixty-seven + four thousand, two hundred and fifty-three =  answer= 7860 
three thousand, eight hundred and forty-seven + six thousand and fifty-two =  answer=10847 
five thousand, one hundred and forty-one + six thousand, three hundred and forty-six =  answer= 11045 
seven thousand, four hundred and ninety + seven thousand, two hundred and ninety-one =  answer=14990 
one thousand, six hundred and seventy-two + four thousand, nine hundred and ninety-nine =  answer=10672+4999=15671 
six thousand, two hundred and sixty-two + four thousand, seven hundred and thirty =  answer=10762 
eight thousand and ninety-nine + four thousand, one hundred and two =  answer=12099 
eight thousand, six hundred and three + eight thousand, five hundred and fifty-one =  answer=17654 
four thousand and sixty-one + eight thousand, one hundred and eighty =  answer=12068 
seven thousand, two hundred and thirty-eight + eight thousand, nine hundred and seventy-seven =  answer=15986 
eight thousand, nine hundred and seventy-one + three thousand, seven hundred and thirty-four =  answer=120735 
one thousand, one hundred and forty-five + one thousand, five hundred and ten =  answer=2145 
nine thousand, five hundred and thirty-six + three thousand, three hundred and nineteen =  answer=12598 
two thousand and twenty-six + eight thousand, two hundred and twenty =  answer=10262 
seven thousand, six hundred and seventy-five + six thousand, nine hundred and fifty-four =  answer=140675954 
eight thousand, two hundred and twenty + nine thousand and three =  answer=17259 
four thousand and fifty-four + five thousand, eight hundred and eighty-seven =  answer=120885 
five thousand, nine hundred and forty-five + two thousand, one hundred and twenty-seven =  answer=9247 
three thousand, six hundred and thirteen + seven thousand, seven hundred and thirty-four =  answer=10987 
five thousand, two hundred and eighty-seven + six thousand, seven hundred and seventy-four =  answer= twelve thousand, nine hundred and sixty-one  
nine thousand, eight hundred and three + two thousand, nine hundred and one =  answer=12083 
nine thousand, seven hundred and thirty-six + nine thousand, three hundred and sixty-six =  answer=18706 
two thousand, two hundred and ninety-two + four thousand, three hundred and twelve =  answer=6429 
eight thousand, five hundred and thirty-eight + six thousand, five hundred and ninety-five =  answer=15085 
five thousand, seven hundred and seventy-one + nine thousand, four hundred and forty-seven =  answer= twelve thousand, one hundred and ninety-eight  
eight thousand, seven hundred and fifty-two + five thousand, five hundred and eighty =  answer=140758 
six thousand, one hundred and sixty-seven + six thousand, one hundred and eighty-nine =  answer=12687 
nine thousand, seven hundred and fifty-four + seven thousand, eight hundred and eighty-five =  answer=16859 
five thousand, three hundred and twenty-seven + four thousand, three hundred and thirty-five =  answer= nine thousand, six hundred and fifty-two 
nine thousand, eight hundred and sixty + nine thousand, six hundred and fifty-two =  answer=18652 
two thousand, five hundred and fifty-one + four thousand and thirty-nine =  answer=9580 
eight thousand, eight hundred and eighty-one + seven thousand, nine hundred and thirty-eight =  answer=16089889 
five thousand and seventy-one + nine thousand, two hundred and twenty-five =  answer=14976 
two thousand, four hundred and twenty-five + two thousand, eight hundred and ninety-six =  answer=5024 
two thousand and twenty-five + four thousand, three hundred and twenty-nine =  answer=6250 
one thousand, one hundred and eighty-three + nine thousand, three hundred and sixty-three =  answer= 10983639 
eight thousand and forty-eight + seven thousand, eight hundred and seventy-six =  answer=15849 
five thousand, two hundred and seventy-six + three thousand, nine hundred and fifty-one =  answer=9276 
four thousand, one hundred and forty-eight + one thousand, two hundred and fifty =  answer=4148+1250=5398 
seven thousand, one hundred and seventy-four + seven thousand, eight hundred and forty-five =  answer=14745 
five thousand, two hundred and seventy-one + seven thousand, five hundred and eight =  answer=12785 
five thousand, six hundred and thirty-nine + four thousand, seven hundred and eighty-four =  answer=10682 
six thousand, nine hundred and thirty-six + five thousand, one hundred and twenty-six =  answer=12065 
six thousand, five hundred and eighty-seven + nine thousand, six hundred and seventy-seven =  answer=15865 
nine thousand, four hundred and fourteen + one thousand, nine hundred and thirty-six =  answer=10450 
three thousand, six hundred and thirty + four thousand, eight hundred and thirty-six =  answer= 79636 
two thousand, six hundred and ninety-two + six thousand, four hundred and eighty-three =  answer=9695 
three thousand, eight hundred and three + three thousand, eight hundred and twenty-nine =  answer=61829 
nine thousand, six hundred and twenty-five + two thousand, three hundred and eighty-three =  answer=12085 
one thousand, eight hundred and forty + eight thousand, eight hundred and eighty =  answer=19688 
three thousand, seven hundred and sixty-one + seven thousand, five hundred and three =  answer=10761 
five thousand, nine hundred and fifty-eight + eight thousand, five hundred and ninety-eight =  answer=140598 
three thousand, seven hundred and sixteen + three thousand, three hundred and ninety-two =  answer=6098 
seven thousand, two hundred and twenty-six + eight thousand, three hundred and thirty-seven =  answer=15260 
seven thousand, six hundred and fifteen + seven thousand, two hundred and seventy-eight =  answer=14785 
two thousand, nine hundred and thirty-six + four thousand, three hundred and fifty-one =  answer= 6940 
two thousand, six hundred and twenty-six + two thousand, eight hundred and fifty-six =  answer=5982 
one thousand, six hundred and forty-eight + two thousand, eight hundred and eighty-four =  answer= 3648 
six thousand, five hundred and twenty-two + nine thousand, nine hundred and ninety-six =  answer=15999 (6522+9996) 
eight thousand, eight hundred and nineteen + five thousand, four hundred and seventy-four =  answer=14089 
seven thousand, five hundred and eighty-six + one thousand, eight hundred and eighty-one =  answer=8975 
three thousand, four hundred and eight + six thousand, eight hundred and sixty-two =  answer=10482 
two thousand, four hundred and fifty-four + six thousand, two hundred and twenty-eight =  answer=9652 
eight thousand, four hundred and seventy-six + seven thousand, five hundred and twenty-seven =  answer=15704 
eight thousand, three hundred and ninety-eight + eight thousand, eight hundred and forty-eight =  answer=16897 
one thousand, nine hundred and thirty-four + seven thousand, seven hundred and forty =  answer=17941 
one thousand, eight hundred and eighty-six + five thousand, three hundred and forty-six =  answer=9842 
eight thousand, seven hundred and thirty-seven + five thousand, three hundred and nineteen =  answer=140739 
seven thousand, nine hundred and ninety + four thousand, eight hundred and nine =  answer=12098 
seven thousand, two hundred and twenty-seven + six thousand, six hundred and ten =  answer=13627 
six thousand, one hundred and twenty-nine + six thousand, nine hundred and thirty-four =  answer=12973 
five thousand, six hundred and thirty-eight + eight thousand, three hundred and eleven =  answer= 13639 
two thousand, four hundred and seventy-seven + five thousand, four hundred and ninety =  answer=9477 
two thousand, nine hundred and twenty-three + nine thousand, one hundred and fifty-eight =  answer=120928 
six thousand, two hundred and thirty-two + seven thousand, nine hundred and thirty-seven =  answer=13293 
seven thousand, three hundred and eighty-seven + four thousand, seven hundred and twenty-seven =  answer=117805927 
two thousand, two hundred and thirty-nine + three thousand, two hundred and eighty-six =  answer=5609 
nine thousand, nine hundred and fifty-six + two thousand, two hundred and sixty-four =  answer=12064 
seven thousand and ninety-one + seven thousand, six hundred and twenty-six =  answer=14692 
nine thousand and forty-two + two thousand, seven hundred and forty-one =  answer=12746 
two thousand, four hundred and twenty-three + seven thousand, five hundred and thirty-nine =  answer=12453 
four thousand, one hundred and twenty-nine + seven thousand, eight hundred and seventeen =  answer=12078 
four thousand, seven hundred and forty-two + five thousand, five hundred and twenty-five =  answer=107425 
one thousand, three hundred and five + three thousand, seven hundred and fifty-five =  answer=4058 
one thousand, eight hundred and forty-one + six thousand, four hundred and seventy =  answer=10847 
four thousand, two hundred and thirty-nine + two thousand, eight hundred and thirteen =  answer=6203 
five thousand, six hundred and eight + two thousand, five hundred and twenty-five =  answer=9285 
one thousand, five hundred and ninety-four + five thousand and four =  answer=6594 
seven thousand, two hundred and seventy-two + seven thousand, nine hundred and thirty =  answer=14729 
two thousand and nine + seven thousand, one hundred and twenty-four =  answer=120924 
five thousand, four hundred and sixty-three + one thousand, four hundred and twelve =  answer= six thousand, eight hundred and twenty-five 
nine thousand, eight hundred and thirty-six + three thousand and ninety-five =  answer=12893 
eight thousand, nine hundred and forty-one + seven thousand, three hundred and forty-six =  answer=15946 
eight thousand, six hundred + two thousand, three hundred and twenty-three =  answer=10623 
one thousand, eight hundred and twenty-four + five thousand, two hundred and ninety-two =  answer= 6296 
six thousand and twenty-four + four thousand and sixteen =  answer=10026 
three thousand, one hundred and sixty-one + three thousand, seven hundred and sixty-nine =  answer=6976 
five thousand, three hundred and twenty-one + nine thousand, three hundred and eighty-two =  answer=14985 
seven thousand, three hundred and sixty-seven + nine thousand, five hundred and sixty-five =  answer=16580 
one thousand, four hundred and twelve + two thousand, three hundred and fifty-seven =  answer=4059 
eight thousand and eighty-six + two thousand, four hundred and twenty-eight =  answer=10826 
seven thousand, two hundred and thirty-seven + eight thousand, seven hundred and seventy-two =  answer=15780 
five thousand, one hundred and nine + two thousand, one hundred and fifty-six =  answer=5109+2156=7265 
six thousand, five hundred and seventy-three + four thousand, nine hundred and ninety-four =  answer=10574 
four thousand, five hundred and fifty-seven + one thousand and nine =  answer=9562 
eight thousand, eight hundred and fifteen + seven thousand, four hundred and seventy-one =  answer=15878 
one thousand and twenty + nine thousand, six hundred and eighty-eight =  answer=1029688 
eight thousand, eight hundred and sixty-four + five thousand, two hundred and forty-one =  answer=14064 
three thousand, three hundred and fifty-six + three thousand, nine hundred and fifty-five =  answer=6751 
one thousand, six hundred and sixty-one + three thousand, two hundred and seventy-six =  answer=4967 
eight thousand, eight hundred and thirty-three + four thousand, three hundred and two =  answer=12803 
six thousand, nine hundred and ninety-eight + eight thousand, nine hundred and thirteen =  answer=14998 
one thousand, eight hundred and thirty-three + three thousand, three hundred and sixty-four =  answer=4197 
six thousand, six hundred and ninety-nine + five thousand, six hundred and thirty-two =  answer=12099 
five thousand, five hundred and eighty-six + five thousand, eight hundred and ninety-four =  answer=105894 
seven thousand, three hundred and twenty + seven thousand and seventy-one =  answer=14728 
four thousand and six + six thousand, five hundred and eighty-four =  answer=10684 
five thousand, three hundred and sixty-nine + five thousand and twenty-five =  answer= ten thousand one hundred and ninety four 
nine thousand, eight hundred and eighty-one + seven thousand, six hundred and seventy-four =  answer=16872 
six thousand, one hundred and fifty-four + six thousand, five hundred and fifty-four =  answer=1205954 
one thousand, one hundred and forty-six + one thousand, seven hundred and ninety-two =  answer=2898 
eight thousand, five hundred and forty-four + three thousand, five hundred and sixty-eight =  answer=120548 
seven thousand, nine hundred and forty-two + eight thousand, four hundred and twenty-seven =  answer=15947 
nine thousand, five hundred and four + eight thousand, one hundred and forty-nine =  answer=17549 
four thousand, seven hundred and thirty-two + three thousand, four hundred and twenty-two =  answer=10732 
six thousand, five hundred and ninety-four + eight thousand, eight hundred and eighty-eight =  answer=15097 
