zero + minus one =  answer=negative one 
minus ninety-eight + fifteen =  answer=seventy-nine  
minus sixty-two + eighty-eight =  answer=twenty-six 
minus fourteen + fifty-two =  answer=thirty-eight 
minus ninety-eight + twenty-four =  answer=twenty-two  
twelve + minus twenty-nine =  answer=twelve 
minus twenty-five + twelve =  answer=twelve 
minus thirty + eighty =  answer=forty-two 
sixty-one + minus seventy-two =  answer=negative nine  
thirty-three + minus ninety-five =  answer=zero 
seventy + minus forty =  answer=thirty 
thirty-five + minus thirty-six =  answer=zero 
minus twenty-five + eighty-one =  answer=sixty-six 
eighty-one + minus fifty-nine =  answer=twenty-two 
minus fifty-three + twenty-eight =  answer=twenty-five 
minus forty-seven + fifty-six =  answer=eleven 
minus seventy-four + fifty-nine =  answer=twenty-five 
minus seventy-two + fifty-nine =  answer=twenty-seven 
thirteen + minus twenty-one =  answer=two  
minus seventy-three + ten =  answer=twenty-seven 
eighteen + minus eighty =  answer=ten 
minus eighty-three + eighty-seven =  answer=eight 
eighty-one + minus eighty-nine =  answer=two 
minus thirty-one + ninety =  answer=sixty-nine 
minus fifty-two + fifty-four =  answer=zero 
forty-one + minus twenty-three =  answer=nineteen 
minus eighteen + thirty-two =  answer=thirty-four 
fifty-seven + minus thirty =  answer=twenty-seven 
ninety-six + minus seventy-six =  answer=twenty 
sixty-two + minus thirty =  answer=thirty-two 
minus fifty-four + seventy-two =  answer=twenty-eight 
ninety-five + minus forty-one =  answer=fifty-four 
thirty + minus eighty-one =  answer=twenty-nine  
minus sixty-six + sixty-two =  answer=zero 
seventeen + minus forty-six =  answer=seven 
minus forty-three + ninety-four =  answer=fifty-one 
fourteen + minus sixty-three =  answer=eight 
thirty-one + minus sixty =  answer=four 
fifty-three + minus ninety-two =  answer=minus thirty-nine  
twenty-nine + minus seventy-one =  answer=two 
minus forty-two + twenty-seven =  answer=twenty-five 
minus thirteen + thirty-seven =  answer=twenty-four 
minus twenty-nine + fifty-seven =  answer=twenty-eight 
minus seventy-two + eighty-four =  answer=eleven 
minus forty-nine + twenty-seven =  answer=twenty-eight  
minus twenty-seven + eleven =  answer=two 
ninety-seven + minus twenty-six =  answer=seventy-one 
minus forty-three + eighty-five =  answer=forty-two 
minus ninety-two + forty-one =  answer=twenty-nine  
minus forty-two + ninety-seven =  answer=fifty-five 
twenty-seven + minus twenty-seven =  answer=zero 
twenty-two + minus sixty =  answer=sixteen 
minus thirty-three + thirteen =  answer=ten 
twenty-eight + minus nineteen =  answer=nine 
ninety-three + minus forty-six =  answer=forty-seven 
minus forty-eight + seventy-eight =  answer=thirty 
sixty + minus seventy-three =  answer=seven 
eighty-nine + minus thirty-one =  answer=fifty-eight 
thirty-three + minus fifty-eight =  answer=two 
one hundred + minus eighty =  answer=twenty 
eighty-seven + minus one hundred =  answer=seventeen 
minus eleven + fifty-nine =  answer=forty-eight 
eighteen + minus sixty =  answer=twelve 
minus thirty-nine + forty-two =  answer=five 
minus fifteen + forty-one =  answer=twenty-six 
minus twenty-nine + forty-nine =  answer=twenty
minus seventy-four + eighty =  answer=twenty-six 
eighty-three + minus twenty-two =  answer=sixty-one 
minus seventy-five + eighty-six =  answer=twenty-one 
minus seventy-six + forty-nine =  answer=twenty-five 
ninety-nine + minus eighty-nine =  answer=eleven 
minus eighteen + eighty-eight =  answer=seventy-nine 
thirty-five + minus fifty-five =  answer=zero 
minus fifty + ninety-four =  answer=forty-nine  
twenty-three + minus nineteen =  answer=four 
ninety + minus sixty-seven =  answer=twenty-three 
minus ninety-seven + ninety-two =  answer=twenty-five 
minus seventy + seventy-six =  answer=seventy-nine  
sixty-one + minus nineteen =  answer=forty-two 
minus thirteen + sixteen =  answer=three 
minus forty-five + one hundred =  answer=fifty-five 
sixty-four + minus sixty-eight =  answer=two 
minus sixty-one + fifty-nine =  answer=eleven 
seventy-two + minus thirty-nine =  answer=thirty-three 
fourteen + minus seventy-one =  answer=six 
seventy-two + minus fifty-seven =  answer=twenty-five 
minus sixty-seven + ninety =  answer=thirty-three 
minus forty-one + seventy-one =  answer=thirty. 
minus fifty-nine + forty-nine =  answer=forty
seventy-seven + minus ten =  answer=sixty-seven 
minus fifty + thirty-five =  answer=eighty 
sixty + minus twenty-eight =  answer=thirty-two 
eighty + minus thirty-two =  answer=forty-eight 
minus seventy-six + forty-eight =  answer=twenty-two  
sixty-nine + minus twenty-three =  answer=forty-six 
one hundred + minus sixty-five =  answer=thirty-five 
minus ninety-six + fifty-two =  answer=thirty-eight 
ninety-two + minus eighty-four =  answer=eight 
forty-three + minus twenty =  answer=twenty-three 
minus fifty-one + seventy-five =  answer=twenty-four 
twenty-nine + minus ninety-seven =  answer=twenty-two 
minus forty + eighty-six =  answer=forty-two 
minus fifty-eight + thirty =  answer=twenty-eight 
minus sixty-nine + sixty-one =  answer=zero 
minus sixty-eight + eighty-eight =  answer=twenty 
minus ninety-five + thirty-two =  answer=twenty-seven 
eighty-nine + minus forty-four =  answer=forty-five 
thirty-four + minus thirty-seven =  answer=seven 
minus fifty-four + ninety =  answer=forty-six 
twelve + minus nineteen =  answer=zero 
minus sixty + eighty-seven =  answer=twenty-five 
ninety-nine + minus sixty-seven =  answer=thirty-two 
ten + minus seventy-nine =  answer=two 
twenty-two + minus forty-nine =  answer=twenty-seven  
sixty-eight + minus fifty-seven =  answer=eleven 
fifty-seven + minus thirty-one =  answer=twenty-six 
eighty-three + minus sixty-five =  answer=twenty-eight 
minus forty-nine + thirty-four =  answer=seven 
sixty-one + minus eighty =  answer=minus seventeen 
minus thirty-eight + eighty-three =  answer=forty-five 
twelve + minus ninety-four =  answer=six 
twenty + minus sixty-five =  answer=forty-five 
minus twenty-nine + seventeen =  answer=eight  
minus seventy-seven + eighty-seven =  answer=eleven 
minus seventy + ninety-six =  answer=twenty-seven 
twenty-nine + minus forty-four =  answer=six 
minus fifty-five + forty-six =  answer=nine 
ninety-one + minus ninety =  answer=zero 
nineteen + minus ninety-five =  answer=zero 
thirty-three + minus seventy-five =  answer=two 
minus ninety-six + thirty-four =  answer=twenty-eight 
forty-four + minus fifty-five =  answer=nine 
minus thirty + fourteen =  answer=twenty-seven 
minus forty-five + ninety-seven =  answer=fifty-two 
minus twenty-three + thirty-nine =  answer=twenty-six 
minus seventy-eight + forty-two =  answer=twenty-four 
thirty-five + minus ninety-eight =  answer=zero 
seventy-seven + minus sixty-four =  answer=eleven 
fifty-one + minus thirty-eight =  answer=twelve 
minus seventy-four + fifteen =  answer=fifty-nine  
eighty-seven + minus seventy-eight =  answer=nine 
minus twelve + one hundred =  answer=ninety-two  
seventy-three + minus seventy-one =  answer=two 
minus sixty-six + twelve =  answer=twenty-four 
seven hundred and ninety-five + minus one hundred and fifty-six =  answer=two hundred and forty-nine  
seven hundred and ninety-seven + minus eight hundred and ninety-six =  answer=eleven 
four hundred and seventeen + minus four hundred and ninety-nine =  answer=two 
minus five hundred and seventy-five + eight hundred and thirteen =  answer=two thousand seven hundred and ninety-eight  
one hundred and eleven + minus four hundred and sixty =  answer=seventy-five 
seven hundred and twenty-eight + minus three hundred and seventy-one =  answer=zero 
eight hundred and seventy-three + minus four hundred and eighty-five =  answer= three hundred and twenty-eight  
minus two hundred and eighty-six + six hundred and forty-nine =  answer=eight hundred and twenty-five 
minus three hundred and eleven + three hundred and thirty-one =  answer=two hundred and twenty-one 
minus eight hundred and ninety-four + five hundred and sixty =  answer=seven hundred and seventy-six  
minus one hundred and eighty-four + three hundred and forty-five =  answer=fifty-seven 
minus seven hundred and thirteen + two hundred and eighty-two =  answer=five hundred and fifty-nine 
minus six hundred and fifty-two + seven hundred and eighty-seven =  answer=eleven hundred and thirty-five 
six hundred and eighty-six + minus two hundred and thirty-four =  answer= four hundred and fifty-two  
five hundred and thirty-three + minus six hundred and ninety-four =  answer=minus three hundred and fifty-seven 
seven hundred and eighty-one + minus eight hundred and fifty-seven =  answer=twenty-four 
eight hundred and fifty-nine + minus two hundred and nine =  answer=six hundred and forty. 
minus six hundred and forty-five + six hundred and thirty-five =  answer=zero 
six hundred and twenty-six + minus four hundred and three =  answer=two hundred and eighty-three 
minus two hundred and sixty-four + three hundred and forty-five =  answer=seven hundred and eighty-nine  
minus seven hundred and twenty-eight + seven hundred and fifty-six =  answer=seven hundred and twenty-eight 
eight hundred and eighty-nine + minus six hundred and six =  answer=two hundred and twenty-three 
minus seven hundred and sixty-six + three hundred and seventeen =  answer=two thousand one hundred and ninety-seven  
minus two hundred and eighty-eight + five hundred and forty =  answer=two thousand one hundred and twenty-three 
minus three hundred and twenty-seven + six hundred and one =  answer=two thousand seven hundred and eighty-four  
minus three hundred and seventy-one + one hundred and forty-one =  answer=two hundred and ninety-three 
minus three hundred and ten + one hundred and thirty-six =  answer=two hundred and seventy-four  
minus seven hundred + five hundred and fifty =  answer=two thousand one hundred and fifty  
eight hundred and fifty-four + minus two hundred and forty-two =  answer=six hundred and one 
two hundred and sixty-two + minus four hundred and eighty-five =  answer=minus one hundred ninety-three 
five hundred and three + minus one hundred and thirty-three =  answer=four hundred and seven 
minus eight hundred and ninety-six + seven hundred and eighty =  answer=eight hundred and seventy-two 
minus six hundred and ninety + nine hundred and fifty-two =  answer=thirteen hundred and forty-four 
three hundred and one + minus five hundred and ninety-seven =  answer=forty-nine 
minus nine hundred and ninety + eight hundred and fifty-one =  answer=nine hundred and one 
seven hundred and eighty-eight + minus one hundred and fifty-six =  answer=two hundred thirty-two 
four hundred and seventy-nine + minus nine hundred and forty-six =  answer=forty-seven 
minus six hundred and eleven + four hundred and forty-one =  answer=seven hundred and twenty-two  
minus four hundred and sixty-two + four hundred and ninety-eight =  answer=zero 
seven hundred and twelve + minus eight hundred and thirty-five =  answer=negative one thousand five hundred and ten 
nine hundred and eighty-six + minus three hundred and sixty-two =  answer= six hundred and twenty-four  
minus four hundred and eighty-three + seven hundred and seventy-one =  answer= three hundred and ninety-eight  
minus eight hundred and fifty-one + nine hundred =  answer=eleven hundred and forty-nine  
nine hundred and eleven + minus two hundred and twenty-seven =  answer=six hundred and eighty-four 
minus seven hundred and nine + nine hundred and sixty-eight =  answer=two thousand one hundred and seventy-seven  
minus nine hundred and sixty-nine + one hundred and seventy-nine =  answer=eight hundred and ninety-nine  
three hundred and fifty-four + minus seven hundred and forty-eight =  answer=negative one hundred and ninety-two  
minus two hundred and forty-nine + eight hundred and sixty-nine =  answer=eight hundred and twenty-nine 
minus two hundred and six + seven hundred and ninety-eight =  answer=seven hundred and seventy-two 
seven hundred and sixty-one + minus three hundred and twenty-three =  answer=four hundred and thirty-eight 
minus two hundred and thirty-seven + six hundred and nine =  answer=eight hundred and seventy-two 
minus three hundred and twenty-three + one hundred and thirty-two =  answer=four hundred and fifty-five 
minus seven hundred and sixty-four + six hundred and thirty-five =  answer=nine hundred and twenty-nine  
one hundred and nine + minus two hundred and ninety-seven =  answer=minus seventy-eight  
minus three hundred and ninety + one hundred and fifty-nine =  answer=two hundred and forty-eight 
minus eight hundred and thirteen + nine hundred and forty-four =  answer=eleven hundred and twenty-seven  
one hundred and sixty-one + minus two hundred and twenty-six =  answer=forty-five 
minus eight hundred and forty-two + three hundred and thirty-eight =  answer=eleven hundred and seventy-six 
minus five hundred and ninety-nine + six hundred and twelve =  answer=eleven hundred and twenty-three  
five hundred and forty-two + minus seven hundred and fifty-one =  answer=negative one hundred ninety-nine  
seven hundred and fifty + minus four hundred and seventy-four =  answer=two hundred and twenty-six 
minus four hundred and fifty-four + five hundred and eleven =  answer=seven hundred and seventy-five 
minus seven hundred and fifty-one + seven hundred and sixty-three =  answer=zero 
eight hundred and thirty-six + minus six hundred and twenty-six =  answer=two hundred and ten 
five hundred and forty-nine + minus nine hundred and eight =  answer=five hundred and thirty-nine  
minus one hundred and twenty + nine hundred and seventy-two =  answer=twelve hundred and ninety-two 
nine hundred and sixty-three + minus three hundred and twenty-six =  answer= six hundred and thirty-seven  
four hundred and fifty-three + minus six hundred and one =  answer=minus one hundred and ninety-eight  
minus two hundred and sixty-nine + one hundred and thirteen =  answer=minus ninety-six 
minus four hundred and thirty-four + eight hundred and eight =  answer=eight hundred and ninety-two 
four hundred and six + minus three hundred and twenty =  answer=eighty-six 
five hundred and sixty-seven + minus two hundred and ninety-one =  answer=two hundred and seventy-six 
two hundred and fifty-five + minus one hundred and ten =  answer=one hundred and forty-five 
nine hundred and sixty-seven + minus two hundred and fifty-six =  answer= six hundred and eighty-five 
six hundred and sixty-four + minus two hundred and fourteen =  answer=five hundred and forty. 
six hundred and forty-seven + minus seven hundred and fifty-eight =  answer=negative one hundred ninety-nine  
seven hundred and forty-three + minus five hundred and fourteen =  answer=two hundred and twenty-nine 
eight hundred and seventy-nine + minus two hundred and twenty-six =  answer= six hundred and fifty-three  
eight hundred and seventeen + minus eight hundred and sixteen =  answer=two 
six hundred and fifty-one + minus one hundred and eighteen =  answer=four hundred and thirty-three 
eight hundred and ninety-eight + minus three hundred and forty-eight =  answer=five hundred and fifty. 
seven hundred and thirteen + minus six hundred and eighty-one =  answer=seventy-two 
minus three hundred and fifty + three hundred and eight =  answer=two thousand one hundred and twenty-eight  
six hundred and ninety + minus nine hundred and seven =  answer=negative three hundred and seventy-seven  
minus five hundred and nine + four hundred and nine =  answer=eight hundred and ninety-six 
minus nine hundred and twenty-five + eight hundred and three =  answer=nine hundred and ten 
nine hundred and three + minus five hundred and twenty-seven =  answer=four hundred and seven 
six hundred and ninety + minus six hundred and ten =  answer=ninety  
minus five hundred and thirteen + eight hundred and eighty-nine =  answer=seven hundred and seventeen 
two hundred and eighty-six + minus one hundred and thirty-eight =  answer=one hundred forty-eight 
minus eight hundred and ninety-seven + three hundred and sixty-three =  answer=two thousand one hundred and seventy-six  
eight hundred and thirty-six + minus three hundred and sixty-eight =  answer=four hundred and forty-eight 
minus three hundred and ninety-six + four hundred and forty-nine =  answer=seven hundred and thirty-five 
minus seven hundred and seventy-nine + six hundred and two =  answer=eight hundred and ninety-two  
minus four hundred and ninety-eight + nine hundred and twenty =  answer= eight hundred and thirty-two  
minus one hundred and fifty-four + two hundred and eighteen =  answer=two hundred and seventy-six  
minus six hundred and ninety-eight + one hundred and ninety-two =  answer=seven hundred and eighty-four 
four hundred and thirty-two + minus nine hundred and forty =  answer=negative five hundred and sixty-eight  
eight hundred and seventy-one + minus eight hundred and thirty-eight =  answer=forty-three 
minus four hundred and nineteen + four hundred and fifteen =  answer=two hundred and seventy-six  
minus two hundred and fourteen + three hundred and seventy-six =  answer=five hundred and twenty-two 
minus three hundred and thirty-seven + one hundred and fifty =  answer=two hundred and seventy-eight  
minus eight hundred and sixty-three + nine hundred and eighty-five =  answer=eleven hundred and forty-two 
six hundred and twenty-four + minus eight hundred and seven =  answer=negative one thousand nine hundred and seventy-three  
seven hundred and forty-two + minus five hundred and eighty-four =  answer=one hundred seventy-eight 
six hundred and sixty-nine + minus four hundred and seventy-two =  answer=zero 
minus one hundred and forty-seven + six hundred and six =  answer=four hundred and twenty-nine 
minus seven hundred and twenty-two + four hundred and thirty-eight =  answer=seven hundred and eighty-six 
two hundred and ninety-one + minus eight hundred and eighty-eight =  answer=twenty-three 
five hundred and thirty-five + minus six hundred and fourteen =  answer=minus three hundred and seventy-nine  
two hundred and sixty-six + minus one hundred and thirty-two =  answer=one hundred and thirty-four 
minus three hundred and nineteen + two hundred and sixty-nine =  answer=five hundred and seventy-eight 
one hundred and thirteen + minus seven hundred and eighty-three =  answer=twenty-seven 
minus nine hundred and seventy + seven hundred and sixty-six =  answer=eight hundred and thirty-four 
minus three hundred and fifty-four + eight hundred and fifty-four =  answer=five hundred and five 
minus six hundred and forty-one + nine hundred and sixty-six =  answer=three hundred and twenty-five 
two hundred and ninety-four + minus three hundred and eighty-six =  answer=twenty-eight  
minus eight hundred and eight + four hundred and seventy-seven =  answer=two thousand one hundred and fifty-three 
minus two hundred and forty-six + four hundred and thirty-six =  answer=two hundred and twenty. 
nine hundred and sixty-six + minus seven hundred and sixty-seven =  answer=forty 
three hundred and ninety-four + minus seven hundred and ninety-five =  answer=minus six hundred and nine 
one thousand + minus one hundred and fifty-nine =  answer=eight hundred and forty-one 
minus eight hundred and thirty-six + four hundred and eleven =  answer=two hundred and seventy-five 
six hundred and seventy-three + minus four hundred and eighty-eight =  answer=one hundred and eighty-five 
eight hundred and thirty-eight + minus five hundred and four =  answer= three hundred and forty-four 
minus seven hundred and forty + six hundred and ninety-one =  answer=two thousand one hundred and thirty-one  
three hundred and seventy-three + minus three hundred and sixteen =  answer=twenty-seven 
nine hundred and eight + minus two hundred and twenty-four =  answer=seven hundred and fifty-six 
minus three hundred and fifteen + nine hundred and forty-three =  answer=twelve hundred and ninety-eight  
two hundred and ninety-four + minus six hundred and eleven =  answer=minus three hundred and seventeen 
minus two hundred and seventy + seven hundred and seventy =  answer=nine hundred and forty-seven  
minus four hundred and eighty-nine + seven hundred and seventy-nine =  answer= three hundred and ninety-eight  
minus eight hundred and eighty-eight + two hundred and thirty-two =  answer=twenty-five 
one hundred and forty-nine + minus two hundred and forty =  answer=zero 
eight hundred and seventy-two + minus one hundred and ninety-four =  answer=six hundred and seventy-eight 
minus five hundred and sixty-five + two hundred and thirteen =  answer=seven hundred and seventy-eight  
minus one hundred and forty-nine + one hundred and seventy-six =  answer=two hundred and twenty-seven  
minus two hundred and thirteen + two hundred and eighty =  answer=two hundred and ninety-five 
minus seven hundred and sixty-eight + five hundred and fifty-six =  answer=two thousand one hundred and eighty-four  
minus five hundred and twenty-three + eight hundred and eighty-five =  answer=thirty-seven hundred and fifty-eight 
eight hundred and forty-six + minus six hundred and sixty-seven =  answer=one hundred seventy-nine 
three hundred and eighty-five + minus four hundred and fifty-seven =  answer=negative one hundred and twenty-eight  
minus eight hundred and eighteen + five hundred and nineteen =  answer=seven hundred and seventy-nine 
minus five hundred and seventy-four + seven hundred and forty =  answer=two thousand one hundred and twenty-six  
minus eight hundred and eighteen + three hundred and seventy-one =  answer=eleven hundred and ninety-two  
minus two hundred and thirty-eight + six hundred and forty-two =  answer=four hundred and seventy-four 
minus seven hundred and sixty-seven + seven hundred and forty-five =  answer=zero 
three hundred and nine + minus seven hundred and forty-seven =  answer=two hundred and fifty-eight 
minus nine hundred and thirty-eight + one hundred and ninety-three =  answer=seven hundred and forty-five 
nine hundred and thirteen + minus nine hundred and two =  answer=thirty-one  
one thousand and fifty-nine + minus six thousand, five hundred and seventy-seven =  answer=forty-five 
three thousand, seven hundred and thirty-four + minus six thousand, six hundred and sixty-six =  answer=eleven hundred and seventy-eight 
nine thousand, two hundred and sixty-seven + minus one thousand, four hundred and fifteen =  answer=eight thousand, eight hundred and fifty-two 
minus one thousand, four hundred and seventy-six + three thousand, eight hundred and forty-two =  answer=three million, two hundred and twenty-eight. 
minus four thousand, seven hundred and ninety-nine + three thousand, one hundred =  answer=two million, eighty-seven hundred and nine. 
three thousand, seven hundred and sixty-seven + minus four thousand, two hundred and fifty-three =  answer=two hundred and seventy-four 
minus three thousand, eight hundred and forty-seven + six thousand and fifty-two =  answer=twenty-eight million, one hundred and seventy-five thousand, five hundred and twenty-two  
five thousand, one hundred and forty-one + minus six thousand, three hundred and forty-six =  answer=eighty-five 
minus seven thousand, four hundred and ninety + seven thousand, two hundred and ninety-one =  answer=two million, six hundred and seventy-nine. 
minus one thousand, six hundred and seventy-two + four thousand, nine hundred and ninety-nine =  answer=three million, seven hundred and twenty-seven 
minus six thousand, two hundred and sixty-two + four thousand, seven hundred and thirty =  answer=seven thousand, five hundred and twenty-eight  
eight thousand and ninety-nine + minus four thousand, one hundred and two =  answer=four thousand, nine hundred and seventy-seven 
eight thousand, six hundred and three + minus eight thousand, five hundred and fifty-one =  answer=seven hundred and seventy-two 
four thousand and sixty-one + minus eight thousand, one hundred and eighty =  answer=two hundred and seventy-three 
seven thousand, two hundred and thirty-eight + minus eight thousand, nine hundred and seventy-seven =  answer=four hundred and fifty-one 
eight thousand, nine hundred and seventy-one + minus three thousand, seven hundred and thirty-four =  answer=five thousand, two hundred and thirty-seven 
minus one thousand, one hundred and forty-five + one thousand, five hundred and ten =  answer=two thousand, six hundred and fifty-five 
nine thousand, five hundred and thirty-six + minus three thousand, three hundred and nineteen =  answer= six thousand, one hundred and eighty-seven 
two thousand and twenty-six + minus eight thousand, two hundred and twenty =  answer=twenty-eight  
minus seven thousand, six hundred and seventy-five + six thousand, nine hundred and fifty-four =  answer=nine thousand, three hundred and twenty-nine 
minus eight thousand, two hundred and twenty + nine thousand and three =  answer=seven thousand, one hundred and ninety-three  
four thousand and fifty-four + minus five thousand, eight hundred and eighty-seven =  answer=forty-five 
five thousand, nine hundred and forty-five + minus two thousand, one hundred and twenty-seven =  answer=three thousand, seven hundred and seventeen 
minus three thousand, six hundred and thirteen + seven thousand, seven hundred and thirty-four =  answer= four thousand, one hundred and twenty-seven  
minus five thousand, two hundred and eighty-seven + six thousand, seven hundred and seventy-four =  answer=three million, four hundred and ninety-seven 
minus nine thousand, eight hundred and three + two thousand, nine hundred and one =  answer=two million, seven hundred and ninety-four  
nine thousand, seven hundred and thirty-six + minus nine thousand, three hundred and sixty-six =  answer=forty-three 
two thousand, two hundred and ninety-two + minus four thousand, three hundred and twelve =  answer=eighty-three 
minus eight thousand, five hundred and thirty-eight + six thousand, five hundred and ninety-five =  answer=seven thousand, nine hundred and sixty-three 
five thousand, seven hundred and seventy-one + minus nine thousand, four hundred and forty-seven =  answer=two hundred and twenty-four 
eight thousand, seven hundred and fifty-two + minus five thousand, five hundred and eighty =  answer= three thousand, two hundred and seventy-four 
minus six thousand, one hundred and sixty-seven + six thousand, one hundred and eighty-nine =  answer=five thousand, two hundred and seventeen 
nine thousand, seven hundred and fifty-four + minus seven thousand, eight hundred and eighty-five =  answer=two hundred and seventeen 
five thousand, three hundred and twenty-seven + minus four thousand, three hundred and thirty-five =  answer=two hundred and ninety-two 
nine thousand, eight hundred and sixty + minus nine thousand, six hundred and fifty-two =  answer=seven hundred and twenty-eight 
minus two thousand, five hundred and fifty-one + four thousand and thirty-nine =  answer=two thousand, one hundred and seventy-eight 
minus eight thousand, eight hundred and eighty-one + seven thousand, nine hundred and thirty-eight =  answer=nine million, one hundred and seventeen. 
minus five thousand and seventy-one + nine thousand, two hundred and twenty-five =  answer=four thousand, one hundred and forty-six 
minus two thousand, four hundred and twenty-five + two thousand, eight hundred and ninety-six =  answer=two million, six hundred and seventy-nine 
two thousand and twenty-five + minus four thousand, three hundred and twenty-nine =  answer=seven hundred and seventy-six  
one thousand, one hundred and eighty-three + minus nine thousand, three hundred and sixty-three =  answer=two hundred and seventeen 
minus eight thousand and forty-eight + seven thousand, eight hundred and seventy-six =  answer=nine thousand, one hundred and twenty-eight 
minus five thousand, two hundred and seventy-six + three thousand, nine hundred and fifty-one =  answer=two million, seven hundred and twenty-five 
minus four thousand, one hundred and forty-eight + one thousand, two hundred and fifty =  answer=five hundred and ninety-three 
seven thousand, one hundred and seventy-four + minus seven thousand, eight hundred and forty-five =  answer=forty-nine 
minus five thousand, two hundred and seventy-one + seven thousand, five hundred and eight =  answer=two million, three hundred and twenty-nine 
five thousand, six hundred and thirty-nine + minus four thousand, seven hundred and eighty-four =  answer=seven hundred and forty-five 
minus six thousand, nine hundred and thirty-six + five thousand, one hundred and twenty-six =  answer=five thousand, two hundred and fifty-four 
minus six thousand, five hundred and eighty-seven + nine thousand, six hundred and seventy-seven =  answer=three million, one hundred and ninety-eight. 
minus nine thousand, four hundred and fourteen + one thousand, nine hundred and thirty-six =  answer=ten thousand, three hundred and twenty-two  
three thousand, six hundred and thirty + minus four thousand, eight hundred and thirty-six =  answer=two hundred and seventy-four 
two thousand, six hundred and ninety-two + minus six thousand, four hundred and eighty-three =  answer=twenty-six. 
minus three thousand, eight hundred and three + three thousand, eight hundred and twenty-nine =  answer=thirty-eight million, six hundred and ten. 
nine thousand, six hundred and twenty-five + minus two thousand, three hundred and eighty-three =  answer=seven thousand, two hundred and thirty-two 
one thousand, eight hundred and forty + minus eight thousand, eight hundred and eighty =  answer=zero 
minus three thousand, seven hundred and sixty-one + seven thousand, five hundred and three =  answer=four thousand, two hundred and thirty-two  
five thousand, nine hundred and fifty-eight + minus eight thousand, five hundred and ninety-eight =  answer=seven hundred and sixty 
three thousand, seven hundred and sixteen + minus three thousand, three hundred and ninety-two =  answer=four hundred and seventy-four 
seven thousand, two hundred and twenty-six + minus eight thousand, three hundred and thirty-seven =  answer=eight hundred and ninety-nine 
minus seven thousand, six hundred and fifteen + seven thousand, two hundred and seventy-eight =  answer=seven thousand, eight hundred and twenty-three 
two thousand, nine hundred and thirty-six + minus four thousand, three hundred and fifty-one =  answer=five hundred and seventy-five 
minus two thousand, six hundred and twenty-six + two thousand, eight hundred and fifty-six =  answer=two million, four hundred and seventy-eight. 
minus one thousand, six hundred and forty-eight + two thousand, eight hundred and eighty-four =  answer=two million, four hundred and seventeen 
