0 + zero =  answer= none 
eight + 6 =  answer= fourteen 
8 + seven =  answer= fifteen 
eight + 8 =  answer= sixteen 
8 + nine =  answer= seventeen 
nine + 0 =  answer= nine 
nine + 1 =  answer= ten 
nine + 2 =  answer= eleven 
nine + 3 =  answer= twelve 
9 + four =  answer= thirteen 
9 + five =  answer= fourteen 
nine + 6 =  answer= fifteen 
nine + 7 =  answer= sixteen 
9 + eight =  answer= seventeen 
9 + nine =  answer= eighteen 
thirty-one + 63 =  answer= ninety-four 
ninety-one + 46 =  answer= one hundred and thirty-seven 
37 + seventy =  answer= one hundred forty-seven 
74 + seventy-seven =  answer= one hundred fifty-one 
ten + 11 =  answer= twenty-one 
84 + sixty-four =  eight hundred and forty-eight 
28 + thirty-nine =  answer= seventy-seven 
ninety-eight + 15 =  answer= one hundred and five 
sixty-two + 88 =  eight hundred and ninety-six 
fourteen + 52 =  answer= ninety-six 
ninety-eight + 24 =  answer= one hundred twenty-two 
12 + twenty-nine =  answer= forty-two 
twenty-five + 12 =  answer= thirty-seven 
thirty + 80 =  answer= one hundred and ten 
61 + seventy-two =  answer= one hundred thirty-three 
33 + ninety-five =  answer= one hundred twenty-eight 
70 + forty =  answer= one hundred and eleven 
35 + thirty-six =  answer= seventy-one 
twenty-five + 81 =  answer= one hundred and five 
81 + fifty-nine =  eight hundred and sixty-one 
fifty-three + 28 =  answer= seventy-eight 
forty-seven + 56 =  answer= one hundred and six 
seventy-four + 59 =  answer= one hundred twenty-three 
seventy-two + 59 =  answer= one hundred twenty-one 
13 + twenty-one =  answer= thirty-four 
seventy-three + 10 =  answer= eighty-three 
18 + eighty =  answer= ninety-eight 
eighty-three + 87 =  answer= one hundred seventy. 
81 + eighty-nine =  answer= one hundred seventy 
thirty-one + 90 =  answer= one hundred and twenty-one 
fifty-two + 54 =  answer= one hundred and five 
41 + twenty-three =  answer= sixty-four 
eighteen + 32 =  answer= fifty 
57 + thirty =  answer= eighty-seven 
96 + seventy-six =  answer= one hundred sixty-two 
62 + thirty =  answer= ninety-two 
fifty-four + 72 =  answer= one hundred twenty-six 
95 + forty-one =  answer= one hundred thirty-six 
30 + eighty-one =  answer= one hundred and eleven 
sixty-six + 62 =  answer= one hundred twenty-eight 
17 + forty-six =  answer= ninety-three 
forty-three + 94 =  answer= one hundred thirty-seven 
14 + sixty-three =  answer= seventy-seven 
31 + sixty =  answer= ninety-one 
53 + ninety-two =  answer= one hundred forty-five 
29 + seventy-one =  answer= one hundred and ninety. 
forty-two + 27 =  answer= sixty-nine 
thirteen + 37 =  answer= fifty 
twenty-nine + 57 =  answer= eighty-six 
seventy-two + 84 =  answer= one hundred fifty-six 
forty-nine + 27 =  answer= seventy-six 
twenty-seven + 11 =  answer= thirty-eight 
97 + twenty-six =  answer= one hundred twenty-three 
forty-three + 85 =  answer= one hundred twenty-eight 
ninety-two + 41 =  answer= one hundred thirty-three 
forty-two + 97 =  answer= one hundred thirty-nine 
27 + twenty-seven =  Answer= fifty-four 
22 + sixty =  answer= eighty-two 
thirty-three + 13 =  answer= forty-six 
28 + nineteen =  answer= forty-seven 
93 + forty-six =  answer= one hundred thirty-nine 
forty-eight + 78 =  answer= one hundred twenty-six 
60 + seventy-three =  answer= one hundred thirty-three 
89 + thirty-one =  answer= one hundred twenty 
33 + fifty-eight =  answer= eighty-one 
100 + eighty =  answer= one hundred and eighty 
87 + one hundred =  answer= nine hundred and seventy-seven 
eleven + 59 =  answer= seventy 
18 + sixty =  answer= eighty-eight 
thirty-nine + 42 =  answer= eighty-one 
fifteen + 41 =  answer= ninety-six 
twenty-nine + 49 =  answer=seventy-eight 
seventy-four + 80 =  answer= one hundred fifty-four 
83 + twenty-two =  answer= one hundred and ten 
seventy-five + 86 =  answer= one hundred fifty-one 
seventy-six + 49 =  answer= one hundred twenty-five 
99 + eighty-nine =  answer= one hundred ninety-eight 
eighteen + 88 =  answer= one hundred ninety six 
35 + fifty-five =  answer= eighty 
fifty + 94 =  answer= one hundred and forty-nine 
23 + nineteen =  answer= forty-two 
90 + sixty-seven =  answer= one hundred fifty-seven 
ninety-seven + 92 =  answer= one hundred eighty-nine 
seventy + 76 =  answer= one hundred forty-three 
61 + nineteen =  answer= seventy-one 
thirteen + 16 =  answer= twenty-nine 
forty-five + 100 =  answer= one hundred and fifty 
64 + sixty-eight =  answer= one hundred thirty-two 
sixty-one + 59 =  answer= one hundred fifty 
72 + thirty-nine =  answer= one hundred twenty-one 
14 + seventy-one =  answer= one hundred and fifty-five 
72 + fifty-seven =  answer= one hundred twenty-nine 
sixty-seven + 90 =  answer= one hundred and fifty-seven 
forty-one + 71 =  answer= one hundred and nineteen 
fifty-nine + 49 =  answer= one hundred and four 
77 + ten =  answer= eighty-seven 
fifty + 35 =  answer= eighty-five 
60 + twenty-eight =  answer= eighty-eight 
80 + thirty-two =  answer= one hundred and forty-two 
seventy-six + 48 =  answer= one hundred twenty-four 
69 + twenty-three =  answer= eighty-two 
100 + sixty-five =  answer= one hundred and seventy-five 
ninety-six + 52 =  answer= one hundred forty-eight 
92 + eighty-four =  answer= one hundred seventy-six 
43 + twenty =  answer= sixty-three 
fifty-one + 75 =  answer= one hundred twenty-six 
29 + ninety-seven =  answer= one hundred twenty-six 
forty + 86 =  answer= one hundred and twenty six 
fifty-eight + 30 =  answer= eighty-eight 
sixty-nine + 61 =  answer= one hundred seventy 
sixty-eight + 88 =  eight hundred and seventy-six 
ninety-five + 32 =  answer= one hundred twenty-seven 
89 + forty-four =  answer= one hundred twenty-three 
34 + thirty-seven =  answer= seventy-one 
fifty-four + 90 =  answer= one hundred forty-four 
12 + nineteen =  answer= thirty-one 
sixty + 87 =  answer= one hundred seventy-three 
99 + sixty-seven =  answer= one hundred and seventy-six 
10 + seventy-nine =  answer= eight hundred ten 
22 + forty-nine =  answer= seventy-one 
68 + fifty-seven =  answer= one hundred twenty-five 
57 + thirty-one =  answer= eighty-eight 
83 + sixty-five =  eighty-eight 
forty-nine + 34 =  answer= eighty-three 
61 + eighty =  answer= one hundred and forty-one 
thirty-eight + 83 =  answer= one hundred twenty-one 
12 + ninety-four =  answer= one hundred twenty-six 
20 + sixty-five =  answer= eighty-five 
twenty-nine + 17 =  answer= forty-six 
seventy-seven + 87 =  answer= one hundred and sixty-four 
seventy + 96 =  answer= one hundred and sixty-three 
29 + forty-four =  answer= one hundred and six 
fifty-five + 46 =  answer= ninety-one 
91 + ninety =  answer= one hundred and eighty 
19 + ninety-five =  answer= one hundred and ten five 
33 + seventy-five =  answer= one hundred twenty-eight 
ninety-six + 34 =  answer= one hundred twenty-nine 
44 + fifty-five =  answer= ninety-nine 
thirty + 14 =  answer= forty-four 
forty-five + 97 =  answer= one hundred and thirty-two 
twenty-three + 39 =  answer= sixty-two 
seventy-eight + 42 =  answer= one hundred twenty 
35 + ninety-eight =  answer= one hundred forty-three 
77 + sixty-four =  answer= one hundred forty-one 
51 + thirty-eight =  answer= eighty-nine 
seventy-four + 15 =  answer= ninety-nine 
87 + seventy-eight =  eight hundred and fifty-five 
twelve + 100 =  answer= one hundred and twenty-two 
73 + seventy-one =  answer= one hundred forty-four 
sixty-six + 12 =  answer= seventy-eight 
795 + one hundred and fifty-six =  answer= nine hundred and forty-one 
797 + eight hundred and ninety-six =  answer= six thousand seven hundred and seventy-three 
417 + four hundred and ninety-nine =  answer= nine hundred and seventeen 
five hundred and seventy-five + 813 =  answer= thirteen hundred eighty-eight 
111 + four hundred and sixty =  eleven hundred and seventy-one 
728 + three hundred and seventy-one =  answer= one thousand one hundred and ninety-nine 
873 + four hundred and eighty-five =  answer= one thousand six hundred and twenty-eight 
two hundred and eighty-six + 649 =  answer= nine hundred and thirty-five 
three hundred and eleven + 331 =  answer= six hundred and forty-one 
eight hundred and ninety-four + 560 =  answer= one thousand four hundred and fifty-four 
one hundred and eighty-four + 345 =  answer= five hundred and twenty-nine 
seven hundred and thirteen + 282 =  answer= nine hundred and five 
six hundred and fifty-two + 787 =  answer= one thousand four hundred and twenty-nine 
686 + two hundred and thirty-four =  answer= nine hundred and eighty-eight 
533 + six hundred and ninety-four =  answer= one thousand eight hundred twenty-seven 
781 + eight hundred and fifty-seven =  answer= one thousand six hundred and thirty-eight 
859 + two hundred and nine =  answer= one thousand eighty-seven 
six hundred and forty-five + 635 =  answer= one thousand nine hundred eighty 
626 + four hundred and three =  six hundred twenty-nine 
two hundred and sixty-four + 345 =  answer= six hundred and eighty-nine 
seven hundred and twenty-eight + 756 =  answer= one thousand five hundred eighty-four 
889 + six hundred and six =  answer= one thousand seven hundred and sixty-five 
seven hundred and sixty-six + 317 =  answer= one thousand one hundred and forty-three 
two hundred and eighty-eight + 540 =  answer= eight hundred and thirty-eight 
three hundred and twenty-seven + 601 =  answer= nine hundred and eighty-four 
three hundred and seventy-one + 141 =  answer= four hundred and one 
three hundred and ten + 136 =  answer= four hundred and forty-six 
seven hundred + 550 =  answer= twelve hundred and fifty 
854 + two hundred and forty-two =  answer= one thousand two hundred and eighty-six 
262 + four hundred and eighty-five =  answer= seven hundred and fifty-seven 
503 + one hundred and thirty-three =  five hundred and thirty-eight 
eight hundred and ninety-six + 780 =  answer= one thousand six hundred and seventy-six 
six hundred and ninety + 952 =  answer= one thousand seven hundred and eighty-two 
301 + five hundred and ninety-seven =  answer= nine hundred and forty-eight 
nine hundred and ninety + 851 =  answer= one thousand eight hundred and forty-one 
788 + one hundred and fifty-six =  answer= nine hundred and forty-four 
479 + nine hundred and forty-six =  answer= one thousand four hundred and twenty-five 
six hundred and eleven + 441 =  answer= one thousand four hundred and fifty-two 
four hundred and sixty-two + 498 =  answer= nine hundred and twenty . 
712 + eight hundred and thirty-five =  answer= one thousand five hundred forty-seven 
986 + three hundred and sixty-two =  answer= one thousand eighty-eight 
four hundred and eighty-three + 771 =  answer= one thousand five hundred and fifty-four 
eight hundred and fifty-one + 900 =  answer= one thousand seven hundred and fifty-one 
911 + two hundred and twenty-seven =  answer= one thousand two hundred and forty-eight 
seven hundred and nine + 968 =  answer= eight hundred and seventy-seven 
nine hundred and sixty-nine + 179 =  answer= one thousand seven hundred and forty-eight 
354 + seven hundred and forty-eight =  answer= one thousand four hundred and eighty-two 
two hundred and forty-nine + 869 =  answer= one thousand sixteen 
two hundred and six + 798 =  answer= 924 
761 + three hundred and twenty-three =  seven hundred eighty-four 
two hundred and thirty-seven + 609 =  answer= eight hundred and forty-six 
three hundred and twenty-three + 132 =  answer= four hundred and fifty-five 
seven hundred and sixty-four + 635 =  answer= one thousand three hundred twenty-nine 
109 + two hundred and ninety-seven =  answer= four hundred and nine 
three hundred and ninety + 159 =  answer= five hundred and forty nine 
eight hundred and thirteen + 944 =  answer= one thousand seven hundred and seventy-seven 
161 + two hundred and twenty-six =  answer= four hundred and eighty-seven 
eight hundred and forty-two + 338 =  answer= one thousand one hundred and seventy . 
five hundred and ninety-nine + 612 =  answer= one thousand six hundred and nine 
542 + seven hundred and fifty-one =  Answer= one thousand two hundred ninety-three 
750 + four hundred and seventy-four =  answer= one thousand twenty-four 
four hundred and fifty-four + 511 =  answer= nine hundred and sixty-five 
seven hundred and fifty-one + 763 =  answer= one thousand four hundred and eighty-four 
836 + six hundred and twenty-six =  eight hundred sixty-three 
549 + nine hundred and eight =  answer= one thousand five hundred and forty-nine 
one hundred and twenty + 972 =  answer= 1092 
963 + three hundred and twenty-six =  answer= one thousand two hundred fifty-nine 
453 + six hundred and one =  answer=one thousand one hundred and five 
two hundred and sixty-nine + 113 =  answer= three hundred and eighty-two 
four hundred and thirty-four + 808 =  answer= twelve hundred and twenty-two 
406 + three hundred and twenty =  answer= seven hundred and eighty-six 
567 + two hundred and ninety-one =  answer= eight hundred and fifty-eight 
255 + one hundred and ten =  answer= two hundred and sixty-five 
967 + two hundred and fifty-six =  answer= one thousand two hundred and twenty-three 
664 + two hundred and fourteen =  answer= eight hundred and twenty-eight 
647 + seven hundred and fifty-eight =  answer= one thousand four hundred twenty-five 
743 + five hundred and fourteen =  seven hundred eighty-seven 
879 + two hundred and twenty-six =  answer= one thousand one hundred and ninety-five 
817 + eight hundred and sixteen =  answer= one thousand nine hundred and ninety-three 
651 + one hundred and eighteen =  answer= seven hundred and seventy-one 
898 + three hundred and forty-eight =  answer= twelve hundred and eighty-six 
713 + six hundred and eighty-one =  seven hundred and ninety-four 
three hundred and fifty + 308 =  answer= six hundred and eighty-eight 
690 + nine hundred and seven =  answer= one thousand six hundred and ninety-seven 
five hundred and nine + 409 =  answer= one thousand four hundred and ninety-eight 
nine hundred and twenty-five + 803 =  answer= one thousand eight hundred and fifty-eight 
903 + five hundred and twenty-seven =  nine hundred and thirty-seven 
690 + six hundred and ten =  answer= seven hundred and ninety 
five hundred and thirteen + 889 =  answer= one thousand four hundred and twenty-two 
286 + one hundred and thirty-eight =  answer= five hundred and twenty-four 
eight hundred and ninety-seven + 363 =  answer= one thousand nine hundred and twenty-nine 
836 + three hundred and sixty-eight =  eight hundred and thirty-six 
three hundred and ninety-six + 449 =  answer= eight hundred and forty-five 
seven hundred and seventy-nine + 602 =  answer= one thousand four hundred and seventy-one 
four hundred and ninety-eight + 920 =  answer= one thousand four hundred and eighty-eight 
one hundred and fifty-four + 218 =  answer=372 
six hundred and ninety-eight + 192 =  answer= seven hundred and eighty 
432 + nine hundred and forty =  answer= one thousand four hundred and seventy-two 
871 + eight hundred and thirty-eight =  answer= one thousand six hundred and fifty-nine 
four hundred and nineteen + 415 =  answer= eight hundred and fifty-four 
two hundred and fourteen + 376 =  answer= five hundred and twenty-four 
three hundred and thirty-seven + 150 =  answer= four hundred and eighty-seven 
eight hundred and sixty-three + 985 =  answer= one thousand seven hundred and twenty-eight 
624 + eight hundred and seven =  answer= one thousand six hundred and twenty-one 
742 + five hundred and eighty-four =  seven hundred and sixty-six 
669 + four hundred and seventy-two =  six hundred and sixty-nine plus four hundred and seventy-two equals one thousand two hundred and thirty-one. 
one hundred and forty-seven + 606 =  answer= seven hundred and ninety-three 
seven hundred and twenty-two + 438 =  answer= one thousand one hundred and fifty-nine 
291 + eight hundred and eighty-eight =  answer= one thousand nine hundred and ninety-nine 
535 + six hundred and fourteen =  answer= one thousand eighty-seven 
266 + one hundred and thirty-two =  answer= four hundred and ninety-eight 
three hundred and nineteen + 269 =  answer= six hundred and eighty-nine 
113 + seven hundred and eighty-three =  Answer= nine hundred and ninety-six 
nine hundred and seventy + 766 =  answer= one thousand seven hundred and forty-six 
three hundred and fifty-four + 854 =  answer= four thousand three hundred and eighty-eight 
six hundred and forty-one + 966 =  answer= one thousand five hundred and eighty-seven 
294 + three hundred and eighty-six =  answer= six hundred and seventy-four 
eight hundred and eight + 477 =  answer= one thousand three hundred and twenty five 
two hundred and forty-six + 436 =  answer= six hundred seventy-nine 
966 + seven hundred and sixty-seven =  nine hundred and seventy-three 
394 + seven hundred and ninety-five =  answer= one thousand eight hundred and forty-four 
1000 + one hundred and fifty-nine =  answer= twelve hundred and fifty-nine 
eight hundred and thirty-six + 411 =  answer= twelve hundred forty-seven 
673 + four hundred and eighty-eight =  six hundred and seventeen 
838 + five hundred and four =  eight hundred and forty-two 
seven hundred and forty + 691 =  answer= one thousand four hundred and thirty-one 
373 + three hundred and sixteen =  answer= four thousand one hundred and ninety-nine 
908 + two hundred and twenty-four =  answer= nine hundred and eighty-four 
three hundred and fifteen + 943 =  answer= thirteen hundred forty-three 
294 + six hundred and eleven =  answer= eight hundred and ninety-five 
two hundred and seventy + 770 =  answer= one thousand five hundred and forty seven 
four hundred and eighty-nine + 779 =  answer= one thousand six hundred and sixty-eight 
eight hundred and eighty-eight + 232 =  answer= one thousand one hundred and eleven 
149 + two hundred and forty =  answer= six hundred and thirty-nine 
872 + one hundred and ninety-four =  answer= nine hundred and seventy-six 
five hundred and sixty-five + 213 =  answer= seven hundred eighty-eight 
one hundred and forty-nine + 176 =  answer= three hundred and twenty-five 
two hundred and thirteen + 280 =  answer= four hundred and fifty-three 
seven hundred and sixty-eight + 556 =  answer= one thousand two hundred and twenty-four 
five hundred and twenty-three + 885 =  answer= thirteen hundred seventy-eight 
846 + six hundred and sixty-seven =  eight hundred and forty-six plus six hundred and sixty-seven equals one thousand five hundred and seventeen. 
385 + four hundred and fifty-seven =  answer= eight hundred and thirty-two 
eight hundred and eighteen + 519 =  answer= one thousand four hundred and ninety-seven 
five hundred and seventy-four + 740 =  answer= one thousand twenty-four 
eight hundred and eighteen + 371 =  answer= one thousand six hundred and ninety-nine 
two hundred and thirty-eight + 642 =  answer= eight hundred seventy. 
seven hundred and sixty-seven + 745 =  answer= one thousand four hundred and eighty-two 
309 + seven hundred and forty-seven =  answer= one thousand four hundred and forty-six 
nine hundred and thirty-eight + 193 =  answer= one thousand one hundred and twenty-one 
913 + nine hundred and two =  answer= one thousand and twenty-two 
1059 + six thousand, five hundred and seventy-seven =  Answer= seven thousand, six hundred and eighty-six 
3734 + six thousand, six hundred and sixty-six =  Answer= ten thousand seven hundred and eighty-eight. 
9267 + one thousand, four hundred and fifteen =  nine thousand, five hundred and seventeen 
one thousand, four hundred and seventy-six + 3842 =  answer= five thousand, two hundred and eighty-eight 
four thousand, seven hundred and ninety-nine + 3100 =  answer= eight thousand, eight hundred and ninety-nine 
3767 + four thousand, two hundred and fifty-three =  answer= seven thousand eight hundred and twenty-nine 
three thousand, eight hundred and forty-seven + 6052 =  answer= ten thousand, four hundred and ninety-nine 
5141 + six thousand, three hundred and forty-six =  five thousand one hundred forty-one plus six thousand three hundred forty-six equals seven million two hundred eighty-three thousand four hundred sixty-seven. 
seven thousand, four hundred and ninety + 7291 =  Answer= seventy-nine thousand, one hundred and twenty-one . 
one thousand, six hundred and seventy-two + 4999 =  answer= five thousand, seven hundred and sixty-three 
six thousand, two hundred and sixty-two + 4730 =  answer= ten thousand, one hundred and thirty-two 
8099 + four thousand, one hundred and two =  eight thousand, nine hundred and ninety-nine plus four thousand, one hundred and two equals ten thousand, one hundred and twenty-one 
8603 + eight thousand, five hundred and fifty-one =  Answer= thirteen thousand, one hundred and twenty-four 
4061 + eight thousand, one hundred and eighty =  answer= fourteen thousand, seven hundred and eighty-one 
7238 + eight thousand, nine hundred and seventy-seven =  Answer= sixteen thousand, seven hundred and twenty-five. 
8971 + three thousand, seven hundred and thirty-four =  eight thousand nine hundred seventy-one plus three thousand seven hundred thirty-four equals ten thousand six hundred ninety-five 
one thousand, one hundred and forty-five + 1510 =  answer=two thousand six hundred and ninety-five 
9536 + three thousand, three hundred and nineteen =  nine thousand five hundred thirty-six plus three thousand three hundred nineteen equals ten thousand eight hundred forty-five 
2026 + eight thousand, two hundred and twenty =  answer= ten thousand, four hundred and twenty-six 
seven thousand, six hundred and seventy-five + 6954 =  answer= thirteen thousand, three hundred and forty-nine 
eight thousand, two hundred and twenty + 9003 =  answer= ten thousand one hundred and fifty-three 
4054 + five thousand, eight hundred and eighty-seven =  four zero five four plus five thousand, eight hundred and eighty-seven equals ten thousand, three hundred and ninety-one 
5945 + two thousand, one hundred and twenty-seven =  five thousand nine hundred forty-five plus two thousand one hundred twenty-seven equals seven million one hundred seventy-two. 
three thousand, six hundred and thirteen + 7734 =  answer= ten thousand seven hundred and seventy-seven 
five thousand, two hundred and eighty-seven + 6774 =  answer= twelve thousand, nine hundred and seventeen 
nine thousand, eight hundred and three + 2901 =  Answer= eleven thousand, seven hundred and thirty-one 
9736 + nine thousand, three hundred and sixty-six =  Answer= ten thousand, one hundred and forty-two 
2292 + four thousand, three hundred and twelve =  answer= six thousand, five hundred and thirty-two 
eight thousand, five hundred and thirty-eight + 6595 =  answer= fourteen thousand, one hundred and ninety-three 
5771 + nine thousand, four hundred and forty-seven =  Answer= ten thousand, five hundred and seventy-eight 
8752 + five thousand, five hundred and eighty =  answer= thirteen thousand seven hundred and twenty-two 
six thousand, one hundred and sixty-seven + 6189 =  answer= twelve thousand, seven hundred and thirty-six 
9754 + seven thousand, eight hundred and eighty-five =  nine thousand, five hundred forty-five 
5327 + four thousand, three hundred and thirty-five =  five thousand, seven hundred and twenty-seven 
9860 + nine thousand, six hundred and fifty-two =  Answer= ten thousand five hundred and twenty-two. 
two thousand, five hundred and fifty-one + 4039 =  answer= seven thousand, nine hundred and eighty-four 
eight thousand, eight hundred and eighty-one + 7938 =  answer= sixteen thousand, seven hundred and ninety-three 
five thousand and seventy-one + 9225 =  answer= fifteen thousand seven hundred and ninety-six 
two thousand, four hundred and twenty-five + 2896 =  answer= six thousand, seven hundred and fifty-one 
2025 + four thousand, three hundred and twenty-nine =  answer= seven thousand, five hundred and thirty-four 
1183 + nine thousand, three hundred and sixty-three =  eleven thousand eight hundred thirty-three 
eight thousand and forty-eight + 7876 =  answer= fifteen thousand seven hundred and twenty-four 
five thousand, two hundred and seventy-six + 3951 =  answer= eight thousand, six hundred and twenty-seven 
four thousand, one hundred and forty-eight + 1250 =  answer= five thousand, three hundred and ninety-eight 
7174 + seven thousand, eight hundred and forty-five =  Answer= eight thousand, five hundred and twenty-nine. 
five thousand, two hundred and seventy-one + 7508 =  answer= twelve thousand seven hundred and eighty-nine 
5639 + four thousand, seven hundred and eighty-four =  five thousand six hundred and forty-three 
six thousand, nine hundred and thirty-six + 5126 =  answer= twelve thousand, five hundred and forty-two 
six thousand, five hundred and eighty-seven + 9677 =  answer= seventeen thousand, four hundred and ninety-four 
nine thousand, four hundred and fourteen + 1936 =  Answer= twelve thousand, five hundred and twenty-four. 
3630 + four thousand, eight hundred and thirty-six =  answer= seven thousand, one hundred and ninety-six 
2692 + six thousand, four hundred and eighty-three =  Answer= nine thousand, seven hundred and seventeen 
three thousand, eight hundred and three + 3829 =  answer= seven thousand, six hundred and twenty-two 
9625 + two thousand, three hundred and eighty-three =  answer= nine thousand six hundred and twenty-eight 
1840 + eight thousand, eight hundred and eighty =  answer= nine thousand, six hundred and eighty-eight 
three thousand, seven hundred and sixty-one + 7503 =  answer= ten thousand five hundred and twenty-four 
5958 + eight thousand, five hundred and ninety-eight =  answer= thirteen thousand, six hundred and forty-six 
3716 + three thousand, three hundred and ninety-two =  answer= four thousand one hundred and seventy-three 
7226 + eight thousand, three hundred and thirty-seven =  Answer= ten thousand, five hundred and sixty-three 
seven thousand, six hundred and fifteen + 7278 =  answer= fourteen thousand, three hundred and twenty-five 
2936 + four thousand, three hundred and fifty-one =  answer= seven thousand, six hundred and eighty-seven 
two thousand, six hundred and twenty-six + 2856 =  answer= eight thousand, four hundred and fifty-two 
one thousand, six hundred and forty-eight + 2884 =  answer= eight thousand, five hundred and thirty-two 
six thousand, five hundred and twenty-two + 9996 =  answer= thirteen thousand, four hundred and ninety-eight 
8819 + five thousand, four hundred and seventy-four =  eight thousand nine hundred and ninety-five 
seven thousand, five hundred and eighty-six + 1881 =  answer= nine thousand, four hundred and seventy-seven 
three thousand, four hundred and eight + 6862 =  answer= nine thousand, five hundred and ninety-eight 
2454 + six thousand, two hundred and twenty-eight =  Answer= eight thousand, four hundred and seventy-two. 
eight thousand, four hundred and seventy-six + 7527 =  answer= fifteen thousand, one hundred and twenty-three 
eight thousand, three hundred and ninety-eight + 8848 =  answer= sixteen thousand, one hundred and seventy-six 
1934 + seven thousand, seven hundred and forty =  answer= eight thousand, four hundred and thirty-four 
1886 + five thousand, three hundred and forty-six =  answer= six thousand, one hundred and eighty-two 
eight thousand, seven hundred and thirty-seven + 5319 =  answer= thirteen thousand, two hundred and forty-six 
seven thousand, nine hundred and ninety + 4809 =  answer= twelve thousand, eight hundred and ninety-nine 
7227 + six thousand, six hundred and ten =  seven thousand eight hundred twenty-seven 
six thousand, one hundred and twenty-nine + 6934 =  answer= six thousand, seven hundred and fifty-three 
5638 + eight thousand, three hundred and eleven =  five thousand six hundred thirty-eight plus eight thousand three hundred and eleven equals nine thousand three hundred and forty-nine. 
2477 + five thousand, four hundred and ninety =  answer= seven thousand, nine hundred and seventy-seven 
two thousand, nine hundred and twenty-three + 9158 =  answer= twelve thousand, eight hundred and forty-eight 
six thousand, two hundred and thirty-two + 7937 =  answer= seven thousand, nine hundred and sixty-five 
seven thousand, three hundred and eighty-seven + 4727 =  answer= twelve thousand, one hundred and ninety-four 
2239 + three thousand, two hundred and eighty-six =  answer= five thousand six hundred and twenty-nine 
9956 + two thousand, two hundred and sixty-four =  answer= twelve thousand, five hundred and twenty-eight 
seven thousand and ninety-one + 7626 =  answer= fourteen thousand nine hundred and eighty-seven 
9042 + two thousand, seven hundred and forty-one =  nine thousand four hundred twenty-three 
two thousand, four hundred and twenty-three + 7539 =  answer= nine thousand, one hundred and seventy-six 
4129 + seven thousand, eight hundred and seventeen =  Answer= fourteen thousand, nine hundred and twenty-six. 
4742 + five thousand, five hundred and twenty-five =  answer= nine thousand seven hundred and sixty-seven 
1305 + three thousand, seven hundred and fifty-five =  answer= four thousand one hundred and eighty. 
one thousand, eight hundred and forty-one + 6470 =  answer= seven thousand, four hundred and twenty-seven 
four thousand, two hundred and thirty-nine + 2813 =  answer= six thousand, five hundred and forty-two 
five thousand, six hundred and eight + 2525 =  answer= seven thousand, eight hundred and twenty-five 
one thousand, five hundred and ninety-four + 5004 =  answer= six thousand, five hundred and forty-eight 
seven thousand, two hundred and seventy-two + 7930 =  answer= eight thousand, nine hundred and ninety-three 
two thousand and nine + 7124 =  answer= twenty-seven thousand one hundred and twelve 
5463 + one thousand, four hundred and twelve =  five thousand, eight hundred and forty-three 
