0 + zero =  answer=0 
sixty-seven + 90 =  answer=157 
forty-one + 71 =  answer=112 
fifty-nine + 49 =  answer=108 
77 + ten =  answer=87 
fifty + 35 =  answer=85 
60 + twenty-eight =  answer=88 
80 + thirty-two =  answer=112 
seventy-six + 48 =  answer=124 
69 + twenty-three =  answer=82 
100 + sixty-five =  answer=165 
ninety-six + 52 =  answer=148 
92 + eighty-four =  answer=176 
43 + twenty =  answer=63 
fifty-one + 75 =  answer=126 
29 + ninety-seven =  answer=126 
forty + 86 =  answer=124 
fifty-eight + 30 =  answer=88 
sixty-nine + 61 =  answer=129 
sixty-eight + 88 =  answer=156 
ninety-five + 32 =  answer=127 
89 + forty-four =  answer=133 
34 + thirty-seven =  answer=71 
fifty-four + 90 =  answer=144 
12 + nineteen =  answer=31 
sixty + 87 =  answer=147 
99 + sixty-seven =  answer=166 
10 + seventy-nine =  answer=89 
22 + forty-nine =  answer=71 
68 + fifty-seven =  answer=125 
57 + thirty-one =  answer=88 
83 + sixty-five =  answer=148 
forty-nine + 34 =  answer=83 
61 + eighty =  answer=148 
thirty-eight + 83 =  answer=121 
12 + ninety-four =  answer=106 
20 + sixty-five =  answer=85 
twenty-nine + 17 =  answer=46 
seventy-seven + 87 =  answer=164 
seventy + 96 =  answer=166 
29 + forty-four =  answer=73 
fifty-five + 46 =  answer=91 
91 + ninety =  answer=180 
19 + ninety-five =  answer=214 
33 + seventy-five =  answer=108 
ninety-six + 34 =  answer=128 
44 + fifty-five =  answer=99 
thirty + 14 =  answer=47 
forty-five + 97 =  answer=142 
twenty-three + 39 =  answer=62 
seventy-eight + 42 =  answer=118 
35 + ninety-eight =  answer=133 
77 + sixty-four =  answer=141 
51 + thirty-eight =  answer=89 
seventy-four + 15 =  answer=99 
87 + seventy-eight =  answer=165 
twelve + 100 =  answer=132 
73 + seventy-one =  answer=144 
sixty-six + 12 =  answer=78 
795 + one hundred and fifty-six =  answer=941 
797 + eight hundred and ninety-six =  answer=1693 
417 + four hundred and ninety-nine =  answer=906 
five hundred and seventy-five + 813 =  answer=1488 
111 + four hundred and sixty =  answer=671 
728 + three hundred and seventy-one =  answer=1099 
873 + four hundred and eighty-five =  answer=1368 
two hundred and eighty-six + 649 =  answer=935 
three hundred and eleven + 331 =  answer=642 
eight hundred and ninety-four + 560 =  answer=1454 
one hundred and eighty-four + 345 =  answer=529 
seven hundred and thirteen + 282 =  answer=995 
six hundred and fifty-two + 787 =  answer=1449 
686 + two hundred and thirty-four =  answer=914 
533 + six hundred and ninety-four =  answer=1227 
781 + eight hundred and fifty-seven =  answer=1638 
859 + two hundred and nine =  answer=1064 
six hundred and forty-five + 635 =  answer=1280 
626 + four hundred and three =  answer=1029 
two hundred and sixty-four + 345 =  answer=609 
seven hundred and twenty-eight + 756 =  answer=1484 
889 + six hundred and six =  answer=1465 
seven hundred and sixty-six + 317 =  answer=1083 
two hundred and eighty-eight + 540 =  answer=828 
three hundred and twenty-seven + 601 =  answer=928 
three hundred and seventy-one + 141 =  answer=512 
three hundred and ten + 136 =  answer=446 
seven hundred + 550 =  answer=1250 
854 + two hundred and forty-two =  answer=1096 
262 + four hundred and eighty-five =  answer=747 
503 + one hundred and thirty-three =  answer=633 
eight hundred and ninety-six + 780 =  answer=1676 
six hundred and ninety + 952 =  answer=1642 
301 + five hundred and ninety-seven =  answer=898 
nine hundred and ninety + 851 =  answer=1790 
788 + one hundred and fifty-six =  answer=944 
479 + nine hundred and forty-six =  answer=1425 
six hundred and eleven + 441 =  answer=1042 
four hundred and sixty-two + 498 =  answer=960 
712 + eight hundred and thirty-five =  answer=1547 
986 + three hundred and sixty-two =  answer=1248 
four hundred and eighty-three + 771 =  answer=1254 
eight hundred and fifty-one + 900 =  answer=1751 
911 + two hundred and twenty-seven =  answer=1128 
seven hundred and nine + 968 =  answer=1747 
nine hundred and sixty-nine + 179 =  answer=1148 
354 + seven hundred and forty-eight =  answer=1092 
two hundred and forty-nine + 869 =  answer=1078 
two hundred and six + 798 =  answer=824 
761 + three hundred and twenty-three =  answer=1084 
two hundred and thirty-seven + 609 =  answer=846 
three hundred and twenty-three + 132 =  answer=455 
seven hundred and sixty-four + 635 =  answer=1399 
109 + two hundred and ninety-seven =  answer=1297 
three hundred and ninety + 159 =  answer=548 
eight hundred and thirteen + 944 =  answer=1787 
161 + two hundred and twenty-six =  answer=487 
eight hundred and forty-two + 338 =  answer=1200 
five hundred and ninety-nine + 612 =  answer=1209 
542 + seven hundred and fifty-one =  answer=1293 
750 + four hundred and seventy-four =  answer=1224 
four hundred and fifty-four + 511 =  answer=965 
seven hundred and fifty-one + 763 =  answer=1414 
836 + six hundred and twenty-six =  answer=1456 
549 + nine hundred and eight =  answer=1487 
one hundred and twenty + 972 =  answer=1099 
963 + three hundred and twenty-six =  answer=1289 
453 + six hundred and one =  answer=1054 
two hundred and sixty-nine + 113 =  answer=382 
four hundred and thirty-four + 808 =  answer=1242 
406 + three hundred and twenty =  answer=726 
567 + two hundred and ninety-one =  answer=862 
255 + one hundred and ten =  answer=365 
967 + two hundred and fifty-six =  answer=1223 
664 + two hundred and fourteen =  answer=888 
647 + seven hundred and fifty-eight =  answer=1395 
743 + five hundred and fourteen =  answer=1247 
879 + two hundred and twenty-six =  answer=1095 
817 + eight hundred and sixteen =  answer=1693 
651 + one hundred and eighteen =  answer=769 
898 + three hundred and forty-eight =  answer=1246 
713 + six hundred and eighty-one =  answer=1394 
three hundred and fifty + 308 =  answer=618 
690 + nine hundred and seven =  answer=1697 
five hundred and nine + 409 =  answer=918 
nine hundred and twenty-five + 803 =  answer=1728 
903 + five hundred and twenty-seven =  answer=1427 
690 + six hundred and ten =  answer=1290 
five hundred and thirteen + 889 =  answer=1402 
286 + one hundred and thirty-eight =  answer=424 
eight hundred and ninety-seven + 363 =  answer=1260 
836 + three hundred and sixty-eight =  answer=1204 
three hundred and ninety-six + 449 =  answer=845 
seven hundred and seventy-nine + 602 =  answer=1371 
four hundred and ninety-eight + 920 =  answer=1418 
one hundred and fifty-four + 218 =  answer=372 
six hundred and ninety-eight + 192 =  answer=890 
432 + nine hundred and forty =  answer=1372 
871 + eight hundred and thirty-eight =  answer=1699 
four hundred and nineteen + 415 =  answer=834 
two hundred and fourteen + 376 =  answer=590 
three hundred and thirty-seven + 150 =  answer=487 
eight hundred and sixty-three + 985 =  answer=1848 
624 + eight hundred and seven =  answer=1429 
742 + five hundred and eighty-four =  answer=1286 
669 + four hundred and seventy-two =  answer=1071 
one hundred and forty-seven + 606 =  answer=749 
seven hundred and twenty-two + 438 =  answer=1160 
291 + eight hundred and eighty-eight =  answer=3808 
535 + six hundred and fourteen =  answer=1149 
266 + one hundred and thirty-two =  answer=408 
three hundred and nineteen + 269 =  answer=608 
113 + seven hundred and eighty-three =  answer=906 
nine hundred and seventy + 766 =  answer=1742 
three hundred and fifty-four + 854 =  answer=1208 
six hundred and forty-one + 966 =  answer=1607 
294 + three hundred and eighty-six =  answer=680 
eight hundred and eight + 477 =  answer=1285 
two hundred and forty-six + 436 =  answer=682 
966 + seven hundred and sixty-seven =  answer=1733 
394 + seven hundred and ninety-five =  answer=1099 
1000 + one hundred and fifty-nine =  answer=1159 
eight hundred and thirty-six + 411 =  answer=1247 
673 + four hundred and eighty-eight =  answer=1081 
838 + five hundred and four =  answer=1342 
seven hundred and forty + 691 =  answer=1431 
373 + three hundred and sixteen =  answer=409 
908 + two hundred and twenty-four =  answer=1124 
three hundred and fifteen + 943 =  answer=1278 
294 + six hundred and eleven =  answer=895 
two hundred and seventy + 770 =  answer=970 
four hundred and eighty-nine + 779 =  answer=1268 
eight hundred and eighty-eight + 232 =  answer=1080 
149 + two hundred and forty =  answer=389 
872 + one hundred and ninety-four =  answer=1066 
five hundred and sixty-five + 213 =  answer=780 
one hundred and forty-nine + 176 =  answer=325 
two hundred and thirteen + 280 =  answer=493 
seven hundred and sixty-eight + 556 =  answer=1224 
five hundred and twenty-three + 885 =  answer=1408 
846 + six hundred and sixty-seven =  answer=1507 
385 + four hundred and fifty-seven =  answer=842 
eight hundred and eighteen + 519 =  answer=1327 
five hundred and seventy-four + 740 =  answer=1314 
eight hundred and eighteen + 371 =  answer=1209 
two hundred and thirty-eight + 642 =  answer=870 
seven hundred and sixty-seven + 745 =  answer=1502 
309 + seven hundred and forty-seven =  answer=1046 
nine hundred and thirty-eight + 193 =  answer=1128 
913 + nine hundred and two =  answer=922 
1059 + six thousand, five hundred and seventy-seven =  answer=7626 
3734 + six thousand, six hundred and sixty-six =  answer=10692 
9267 + one thousand, four hundred and fifteen =  answer=10482 
one thousand, four hundred and seventy-six + 3842 =  answer=5168 
four thousand, seven hundred and ninety-nine + 3100 =  answer=7899 
3767 + four thousand, two hundred and fifty-three =  answer=4028 
three thousand, eight hundred and forty-seven + 6052 =  answer=10099 
5141 + six thousand, three hundred and forty-six =  answer=6847 
seven thousand, four hundred and ninety + 7291 =  answer=14690 
one thousand, six hundred and seventy-two + 4999 =  answer=6720 
six thousand, two hundred and sixty-two + 4730 =  answer=10962 
8099 + four thousand, one hundred and two =  answer=8121 
8603 + eight thousand, five hundred and fifty-one =  answer=9451 
4061 + eight thousand, one hundred and eighty =  answer=8297 
7238 + eight thousand, nine hundred and seventy-seven =  answer=16045 
8971 + three thousand, seven hundred and thirty-four =  answer=9045 
one thousand, one hundred and forty-five + 1510 =  answer=2645 
9536 + three thousand, three hundred and nineteen =  answer=12845 
2026 + eight thousand, two hundred and twenty =  answer=8226 
seven thousand, six hundred and seventy-five + 6954 =  answer=14029 
eight thousand, two hundred and twenty + 9003 =  answer=8229 
4054 + five thousand, eight hundred and eighty-seven =  answer=9881 
5945 + two thousand, one hundred and twenty-seven =  answer=6172 
three thousand, six hundred and thirteen + 7734 =  answer=10967 
five thousand, two hundred and eighty-seven + 6774 =  answer=12081 
nine thousand, eight hundred and three + 2901 =  answer=11904 
9736 + nine thousand, three hundred and sixty-six =  answer=10299 
2292 + four thousand, three hundred and twelve =  answer=6714 
eight thousand, five hundred and thirty-eight + 6595 =  answer=14823 
5771 + nine thousand, four hundred and forty-seven =  answer=6648 
8752 + five thousand, five hundred and eighty =  answer=14089 
six thousand, one hundred and sixty-seven + 6189 =  answer=6240 
9754 + seven thousand, eight hundred and eighty-five =  answer=16809 
5327 + four thousand, three hundred and thirty-five =  answer=9662 
9860 + nine thousand, six hundred and fifty-two =  answer=10722 
two thousand, five hundred and fifty-one + 4039 =  answer=7082 
eight thousand, eight hundred and eighty-one + 7938 =  answer=16029 
five thousand and seventy-one + 9225 =  answer=14796 
two thousand, four hundred and twenty-five + 2896 =  answer=7121 
2025 + four thousand, three hundred and twenty-nine =  answer=4037 
1183 + nine thousand, three hundred and sixty-three =  answer=10423 
eight thousand and forty-eight + 7876 =  answer=16,048 
five thousand, two hundred and seventy-six + 3951 =  answer=8977 
four thousand, one hundred and forty-eight + 1250 =  answer=5498 
7174 + seven thousand, eight hundred and forty-five =  answer=8629 
five thousand, two hundred and seventy-one + 7508 =  answer=12589 
5639 + four thousand, seven hundred and eighty-four =  answer=12483 
six thousand, nine hundred and thirty-six + 5126 =  answer=12092 
six thousand, five hundred and eighty-seven + 9677 =  answer=16084 
nine thousand, four hundred and fourteen + 1936 =  answer=10940 
3630 + four thousand, eight hundred and thirty-six =  answer=8936 
2692 + six thousand, four hundred and eighty-three =  answer=8715 
three thousand, eight hundred and three + 3829 =  answer=7632 
9625 + two thousand, three hundred and eighty-three =  answer=10088 
1840 + eight thousand, eight hundred and eighty =  answer=9688 
three thousand, seven hundred and sixty-one + 7503 =  answer=10864 
5958 + eight thousand, five hundred and ninety-eight =  answer=14546 
3716 + three thousand, three hundred and ninety-two =  answer=4098 
7226 + eight thousand, three hundred and thirty-seven =  answer=8019 
seven thousand, six hundred and fifteen + 7278 =  answer=14609 
2936 + four thousand, three hundred and fifty-one =  answer=7401 
two thousand, six hundred and twenty-six + 2856 =  answer=9082 
one thousand, six hundred and forty-eight + 2884 =  answer=4612 
six thousand, five hundred and twenty-two + 9996 =  answer=16028 
8819 + five thousand, four hundred and seventy-four =  answer=6403 
seven thousand, five hundred and eighty-six + 1881 =  answer=9647 
three thousand, four hundred and eight + 6862 =  answer=9402 
2454 + six thousand, two hundred and twenty-eight =  answer=8674 
eight thousand, four hundred and seventy-six + 7527 =  answer=16083 
eight thousand, three hundred and ninety-eight + 8848 =  answer=17646 
1934 + seven thousand, seven hundred and forty =  answer=8074 
1886 + five thousand, three hundred and forty-six =  answer=7206 
eight thousand, seven hundred and thirty-seven + 5319 =  answer=14086 
seven thousand, nine hundred and ninety + 4809 =  answer=12799 
7227 + six thousand, six hundred and ten =  answer=8697 
six thousand, one hundred and twenty-nine + 6934 =  answer=12934 
5638 + eight thousand, three hundred and eleven =  answer=14029 
2477 + five thousand, four hundred and ninety =  answer=8967 
two thousand, nine hundred and twenty-three + 9158 =  answer=12081 
six thousand, two hundred and thirty-two + 7937 =  answer=6232+7937=14169 
seven thousand, three hundred and eighty-seven + 4727 =  answer=11984 
2239 + three thousand, two hundred and eighty-six =  answer=6085 
9956 + two thousand, two hundred and sixty-four =  answer=12204 
seven thousand and ninety-one + 7626 =  answer=14627 
9042 + two thousand, seven hundred and forty-one =  answer=11743 
two thousand, four hundred and twenty-three + 7539 =  answer=9862 
4129 + seven thousand, eight hundred and seventeen =  answer=7806 
4742 + five thousand, five hundred and twenty-five =  answer=10269 
1305 + three thousand, seven hundred and fifty-five =  answer=4060 
one thousand, eight hundred and forty-one + 6470 =  answer=8281 
four thousand, two hundred and thirty-nine + 2813 =  answer=6842 
five thousand, six hundred and eight + 2525 =  answer=8016 
one thousand, five hundred and ninety-four + 5004 =  answer=6998 
seven thousand, two hundred and seventy-two + 7930 =  answer=14682 
two thousand and nine + 7124 =  answer=9016 
5463 + one thousand, four hundred and twelve =  answer=6805 
9836 + three thousand and ninety-five =  answer=10295 
eight thousand, nine hundred and forty-one + 7346 =  answer=16287 
eight thousand, six hundred + 2323 =  answer=8602 
one thousand, eight hundred and twenty-four + 5292 =  answer=6816 
6024 + four thousand and sixteen =  answer=10089 
3161 + three thousand, seven hundred and sixty-nine =  answer=4078 
5321 + nine thousand, three hundred and eighty-two =  answer=9803 
7367 + nine thousand, five hundred and sixty-five =  answer=8292 
one thousand, four hundred and twelve + 2357 =  answer=3469 
eight thousand and eighty-six + 2428 =  answer=10,916 
seven thousand, two hundred and thirty-seven + 8772 =  answer=16049 
five thousand, one hundred and nine + 2156 =  answer=7165 
six thousand, five hundred and seventy-three + 4994 =  answer=10967 
4557 + one thousand and nine =  answer=5606 
8815 + seven thousand, four hundred and seventy-one =  answer=9606 
1020 + nine thousand, six hundred and eighty-eight =  answer=10988 
8864 + five thousand, two hundred and forty-one =  answer=10245 
three thousand, three hundred and fifty-six + 3955 =  answer=7281 
1661 + three thousand, two hundred and seventy-six =  answer=4977 
8833 + four thousand, three hundred and two =  answer=9135 
six thousand, nine hundred and ninety-eight + 8913 =  answer=14903 
1833 + three thousand, three hundred and sixty-four =  answer=4967 
six thousand, six hundred and ninety-nine + 5632 =  answer=12094 
five thousand, five hundred and eighty-six + 5894 =  answer=10,673 
7320 + seven thousand and seventy-one =  answer=8091 
4006 + six thousand, five hundred and eighty-four =  answer=10584 
five thousand, three hundred and sixty-nine + 5025 =  answer=8694 
9881 + seven thousand, six hundred and seventy-four =  answer=10674 
6154 + six thousand, five hundred and fifty-four =  answer=7208 
1146 + one thousand, seven hundred and ninety-two =  answer=2898 
eight thousand, five hundred and forty-four + 3568 =  answer=9024 
7942 + eight thousand, four hundred and twenty-seven =  answer=8619 
nine thousand, five hundred and four + 8149 =  answer=17203 
4732 + three thousand, four hundred and twenty-two =  answer=8154 
6594 + eight thousand, eight hundred and eighty-eight =  answer=7582 
nine thousand, two hundred and fifty-four + 7984 =  answer=16988 
5348 + seven thousand, nine hundred and ninety-one =  answer=12979 
five thousand, six hundred and fifty-nine + 1293 =  answer=6842 
five thousand and forty-seven + 5999 =  answer=10046 
four thousand and fifty + 2096 =  answer=4205 
six thousand, four hundred and seventy-seven + 8569 =  answer=14706 
eight thousand, two hundred and sixty-one + 3877 =  answer=12048 
6859 + eight thousand, nine hundred and thirty-four =  answer=14723 
9389 + four thousand and sixty-nine =  answer=10,649 
nine thousand and thirty-three + 2301 =  answer=11304 
three thousand, eight hundred and ten + 2250 =  answer=6150 
three thousand, four hundred and sixty-two + 8300 =  answer=12962 
eight thousand, seven hundred and fifty-three + 7299 =  answer=16006 
two thousand, three hundred and twenty-two + 4246 =  answer=7498 
6085 + four thousand, six hundred and seventy-three =  answer=7458 
six thousand, three hundred and seven + 7123 =  answer=69084 
9793 + six thousand, two hundred and ninety-one =  answer=16024 
three thousand, eight hundred and forty-two + 1002 =  answer=4844 
5962 + eight thousand, three hundred and eighteen =  answer=14083 
32062 + ninety-nine thousand, eight hundred and forty-two =  answer=419872 
14075 + thirty-seven thousand, one hundred and twenty-six =  answer=143826 
98395 + sixty-six thousand, three hundred and ninety-nine =  answer=104924 
ninety thousand, five hundred and twenty-five + 99284 =  answer=109236 
30802 + ninety-one thousand, five hundred and fifteen =  answer=41917 
20127 + sixty-eight thousand and ninety-nine =  answer=208699 
eighty-four thousand, five hundred and thirty-three + 20317 =  answer=84533+20317=104850 
63294 + ninety thousand, two hundred and eighty =  answer=70182 
twenty-seven thousand, four hundred and eighty-four + 73277 =  answer=90861 
87387 + thirty-five thousand, nine hundred and forty =  answer=90284 
95250 + ten thousand, two hundred and fifty-seven =  answer=107802 
eighty-four thousand, one hundred and fifty-nine + 94540 =  answer=8639159 
twenty-six thousand, eight hundred and eighty-four + 35824 =  answer=61904 
91734 + ninety-two thousand, one hundred and thirty-nine =  answer=92026 
forty-eight thousand, nine hundred and seventy-eight + 33205 =  answer=48978+33205=82183 
56818 + sixty-one thousand, nine hundred and forty-three =  answer=72493 
eighty-seven thousand, five hundred and thirty-one + 44036 =  answer=87531+44036=131567 
65281 + fifty thousand and seven =  answer=65708 
66892 + thirty-nine thousand, one hundred and thirty-six =  answer=70135 
twenty-six thousand, nine hundred and forty-two + 49944 =  answer=76038 
93513 + seventy thousand, one hundred and sixty-one =  answer=70864 
forty-eight thousand and forty-seven + 94790 =  answer=148637 
60343 + ninety-two thousand, six hundred and sixty-nine =  answer=926693 
eighty-eight thousand, six hundred and fifty-six + 14803 =  answer=92689 
thirty-nine thousand, five hundred and eighty-eight + 72953 =  answer=4088388 
sixty-five thousand, six hundred and forty + 22562 =  answer=71808 
eleven thousand, one hundred and sixty-nine + 30027 =  answer=41698 
82310 + sixty-six thousand, six hundred and seventy-six =  answer=69476 
ninety-six thousand, three hundred and eighty-two + 28675 =  answer=106349382 
fifty-five thousand, five hundred and sixty-seven + 26293 =  answer=58104 
61443 + twenty-three thousand, four hundred and eighty-three =  answer=63827 
55969 + seventeen thousand, eight hundred and sixty-eight =  answer=72438 
28724 + thirty-four thousand, one hundred and ninety =  answer=61923 
seventy thousand, one hundred and eleven + 93844 =  answer=160855 
seventy-six thousand, seven hundred and sixteen + 25633 =  answer=81709 
68532 + eighty-four thousand and fifteen =  answer=749,317 
twenty-eight thousand, eight hundred and eighty-six + 14760 =  answer=forty-two thousand, seven hundred and ninety-four 
19814 + sixty-six thousand, nine hundred and fifty-seven =  answer=20471957 
forty-seven thousand, three hundred and seventy-three + 58901 =  answer=47373+58901=62274 
nineteen thousand, three hundred and ninety-two + 38130 =  answer=47922 
forty thousand, two hundred and five + 88324 =  answer=401279 
fifty-two thousand, five hundred and seventeen + 33591 =  answer=86042 
forty-seven thousand, two hundred and thirty + 18197 =  answer=4820693. 
33623 + sixty-seven thousand and thirty-eight =  answer=400187 
sixty-six thousand, three hundred and eighty-eight + 89602 =  answer=73241 
thirteen thousand and forty-seven + 95730 =  answer=142817 
82115 + forty-five thousand, two hundred =  answer=460257 
sixty-one thousand and eighty-seven + 90890 =  answer=610878 
80657 + sixty-seven thousand, four hundred =  answer=94217 
92446 + forty thousand, five hundred and seventy-six =  answer=107210 
sixty-eight thousand, three hundred + 69047 =  answer=72810 
sixty-nine thousand, six hundred and thirty-seven + 26287 =  answer=70394 
ninety-one thousand, three hundred and fifty + 25572 =  answer=910358 
36697 + thirty-five thousand, three hundred and fifty-nine =  answer=40126 
18605 + forty thousand, three hundred and eighty-two =  answer=42938 
ninety-three thousand, nine hundred and ninety-four + 91077 =  answer=939994+91077=1029861 
15468 + seventy-one thousand and five =  answer=92,105 
82229 + fifty-three thousand, three hundred and sixteen =  answer=140635 
thirty-eight thousand, two hundred + 49350 =  answer=81270 
ten thousand, four hundred and ninety-six + 56679 =  answer=10496+56679=67245 
27261 + sixty-seven thousand, two hundred and fifty-five =  answer=34086 
forty-two thousand, three hundred and ninety-four + 77577 =  answer=420394+77577=498161 
35709 + sixty-eight thousand and sixteen =  answer=421686 
46061 + thirty-six thousand, seven hundred and sixty =  answer=49726 
42368 + twenty-eight thousand, three hundred and seventeen =  answer=451097 
49155 + fifty-eight thousand, seven hundred and thirty-two =  answer=508732 
eighty-four thousand and nine + 61005 =  answer=84995 
13880 + eighty-three thousand and eighty-nine =  answer=14769 
42114 + sixty-three thousand, eight hundred and forty =  answer=4879304 
sixty-eight thousand, five hundred and thirty-six + 24111 =  answer=70896 
thirty-one thousand, three hundred and eighteen + 57068 =  answer=92144 
thirty-nine thousand, nine hundred and fifty-three + 75621 =  answer=4098355 
thirty-three thousand, five hundred and three + 25730 =  answer=61983 
15180 + eighty-six thousand and fifty =  answer=246,865 
60301 + ninety-two thousand, eight hundred and sixty =  answer=92860 
79415 + twenty-six thousand, nine hundred and eighteen =  answer=82013 
ninety-six thousand, three hundred and sixty-four + 34247 =  answer=96000+34247=130247 
forty-five thousand, three hundred and fifty + 47948 =  answer=450355 (forty-five thousand, three hundred and fifty plus fourty-seven thousand, nine hundred and forty-eight) 
88825 + eighty-one thousand and forty-eight =  answer=97063 
forty-two thousand, one hundred and eleven + 80767 =  answer=4218987 
fifty-one thousand, six hundred and ninety-four + 97434 =  answer=60894 
seventy-eight thousand, five hundred and two + 10060 =  answer=87462 
thirteen thousand, five hundred and eighty-nine + 88989 =  answer=1420787 
