zero + zero =  answer= zero 
seventy-two + thirty-nine =  answer= one hundred twenty-one 
fourteen + seventy-one =  answer= one hundred and ninety-five 
seventy-two + fifty-seven =  Answer= one hundred twenty-nine 
sixty-seven + ninety =  answer= one hundred and seventy-four 
forty-one + seventy-one =  answer= one hundred and nineteen 
fifty-nine + forty-nine =  answer= one hundred and four 
seventy-seven + ten =  eighty-seven 
fifty + thirty-five =  answer= eighty-five 
sixty + twenty-eight =  answer= eighty-eight 
eighty + thirty-two =  answer= one hundred and forty-two 
seventy-six + forty-eight =  answer= one hundred twenty-four 
sixty-nine + twenty-three =  answer= eighty-two 
one hundred + sixty-five =  answer=two hundred and seventy-five 
ninety-six + fifty-two =  answer= one hundred forty-eight 
ninety-two + eighty-four =  answer= one hundred seventy-six 
forty-three + twenty =  Answer= sixty-three 
fifty-one + seventy-five =  Answer= one hundred twenty-six 
twenty-nine + ninety-seven =  answer= one hundred and twenty-six 
forty + eighty-six =  answer= one hundred twenty-four  
fifty-eight + thirty =  answer= eighty-eight 
sixty-nine + sixty-one =  answer= one hundred thirty 
sixty-eight + eighty-eight =  answer= one hundred seventy-six 
ninety-five + thirty-two =  answer= one hundred twenty-seven 
eighty-nine + forty-four =  answer= one hundred thirty-three 
thirty-four + thirty-seven =  Answer= seventy-one  
fifty-four + ninety =  answer= one hundred forty-four 
twelve + nineteen =  answer= thirty-one 
sixty + eighty-seven =  answer= one hundred and fifty-three 
ninety-nine + sixty-seven =  answer= one hundred and seventy-six 
ten + seventy-nine =  answer= one hundred eighty-nine 
twenty-two + forty-nine =  Answer=seventy-one 
sixty-eight + fifty-seven =  answer= one hundred twenty-five 
fifty-seven + thirty-one =  Answer= eighty-eight  
eighty-three + sixty-five =  answer= one hundred forty-eight 
forty-nine + thirty-four =  Answer= eighty-three  
sixty-one + eighty =  answer= one hundred and forty-one 
thirty-eight + eighty-three =  answer= one hundred twenty-one 
twelve + ninety-four =  answer= one hundred and twenty-six 
twenty + sixty-five =  answer= eighty-five  
twenty-nine + seventeen =  answer= forty-six 
seventy-seven + eighty-seven =  answer= one hundred sixty-four 
seventy + ninety-six =  answer= one hundred and sixty-three 
twenty-nine + forty-four =  Answer=seventy-three 
fifty-five + forty-six =  answer= ninety-one  
ninety-one + ninety =  answer= one hundred eighty 
nineteen + ninety-five =  answer= one hundred and nine 
thirty-three + seventy-five =  answer= one hundred and five 
ninety-six + thirty-four =  answer= one hundred twenty-eight 
forty-four + fifty-five =  answer= ninety-nine  
thirty + fourteen =  answer= forty-four 
forty-five + ninety-seven =  Answer= one hundred and forty-two  
twenty-three + thirty-nine =  Answer= sixty-two 
seventy-eight + forty-two =  answer= one hundred twenty 
thirty-five + ninety-eight =  answer= one hundred and twenty-three 
seventy-seven + sixty-four =  answer= one hundred forty-one 
fifty-one + thirty-eight =  Answer= eighty-nine  
seventy-four + fifteen =  answer= ninety-nine 
eighty-seven + seventy-eight =  answer= one hundred sixty-five 
twelve + one hundred =  answer= one hundred and thirteen  
seventy-three + seventy-one =  answer= one hundred forty-four 
sixty-six + twelve =  answer= seventy-eight 
seven hundred and ninety-five + one hundred and fifty-six =  eight hundred and forty-one  
seven hundred and ninety-seven + eight hundred and ninety-six =  answer= sixteen hundred and ninety-three  
four hundred and seventeen + four hundred and ninety-nine =  answer= nine hundred and eighty-six 
five hundred and seventy-five + eight hundred and thirteen =  answer= one thousand six hundred and forty-eight  
one hundred and eleven + four hundred and sixty =  answer= five hundred and seventy-one  
seven hundred and twenty-eight + three hundred and seventy-one =  Answer= one thousand and fourteen. 
eight hundred and seventy-three + four hundred and eighty-five =  answer= twelve hundred and sixty-eight  
two hundred and eighty-six + six hundred and forty-nine =  answer= nine hundred and thirty-five 
three hundred and eleven + three hundred and thirty-one =  answer= six hundred and forty-two  
eight hundred and ninety-four + five hundred and sixty =  answer= one thousand four hundred and fifty-four 
one hundred and eighty-four + three hundred and forty-five =  answer= five hundred and twenty-nine  
seven hundred and thirteen + two hundred and eighty-two =  answer= one thousand and twenty-five 
six hundred and fifty-two + seven hundred and eighty-seven =  Answer= one thousand four hundred and thirty-nine. 
six hundred and eighty-six + two hundred and thirty-four =  answer= nine hundred and twenty. 
five hundred and thirty-three + six hundred and ninety-four =  answer= one thousand nine hundred and twenty-seven 
seven hundred and eighty-one + eight hundred and fifty-seven =  Answer= six thousand four hundred and thirty-eight  
eight hundred and fifty-nine + two hundred and nine =  answer= one thousand one hundred and sixty-eight 
six hundred and forty-five + six hundred and thirty-five =  answer= one thousand nine hundred seventy-five 
six hundred and twenty-six + four hundred and three =  answer= one thousand and seven hundred and five 
two hundred and sixty-four + three hundred and forty-five =  answer= five hundred and eighty-nine  
seven hundred and twenty-eight + seven hundred and fifty-six =  Answer= one thousand five hundred and eighty-four. 
eight hundred and eighty-nine + six hundred and six =  answer= one thousand five hundred and fifty-five 
seven hundred and sixty-six + three hundred and seventeen =  answer= one thousand and twenty-three  
two hundred and eighty-eight + five hundred and forty =  answer= eight hundred and twenty-three  
three hundred and twenty-seven + six hundred and one =  answer= nine hundred and thirty-eight  
three hundred and seventy-one + one hundred and forty-one =  answer= five hundred and eleven 
three hundred and ten + one hundred and thirty-six =  answer= four hundred and forty-six  
seven hundred + five hundred and fifty =  answer= one thousand two hundred and fifty  
eight hundred and fifty-four + two hundred and forty-two =  answer= one thousand two hundred ninety-six 
two hundred and sixty-two + four hundred and eighty-five =  answer= seven hundred and forty-seven  
five hundred and three + one hundred and thirty-three =  answer= six hundred and sixty-six 
eight hundred and ninety-six + seven hundred and eighty =  answer= fifteen hundred and seventy-four  
six hundred and ninety + nine hundred and fifty-two =  seven thousand five hundred and forty-two 
three hundred and one + five hundred and ninety-seven =  answer= eight hundred and nine 
nine hundred and ninety + eight hundred and fifty-one =  Answer= one thousand eight hundred and forty-two  
seven hundred and eighty-eight + one hundred and fifty-six =  answer= nine hundred and forty-four 
four hundred and seventy-nine + nine hundred and forty-six =  Answer= one thousand five hundred and twenty-five 
six hundred and eleven + four hundred and forty-one =  Answer= one thousand and twenty-two. 
four hundred and sixty-two + four hundred and ninety-eight =  answer= nine hundred and twenty .  
seven hundred and twelve + eight hundred and thirty-five =  Answer= one thousand five hundred and fifty-seven. 
nine hundred and eighty-six + three hundred and sixty-two =  Answer= one thousand two hundred and forty-eight. 
four hundred and eighty-three + seven hundred and seventy-one =  Answer= one thousand five hundred and fifty-four. 
eight hundred and fifty-one + nine hundred =  answer= one thousand seven hundred and fifty-one 
nine hundred and eleven + two hundred and twenty-seven =  answer= one thousand two hundred and forty-eight  
seven hundred and nine + nine hundred and sixty-eight =  Answer= one thousand six hundred and seventy-seven  
nine hundred and sixty-nine + one hundred and seventy-nine =  Answer= one thousand eight hundred and forty-eight  
three hundred and fifty-four + seven hundred and forty-eight =  answer= one thousand four hundred and ninety-two 
two hundred and forty-nine + eight hundred and sixty-nine =  answer= one thousand, zero hundred and ninety-eight  
two hundred and six + seven hundred and ninety-eight =  answer= one thousand and eighty-four 
seven hundred and sixty-one + three hundred and twenty-three =  answer= one thousand and eighty-four 
two hundred and thirty-seven + six hundred and nine =  answer= eight hundred and forty-six  
three hundred and twenty-three + one hundred and thirty-two =  answer= four hundred and fifty-five 
seven hundred and sixty-four + six hundred and thirty-five =  Answer= one thousand three hundred ninety-nine  
one hundred and nine + two hundred and ninety-seven =  answer= four hundred and ten six 
three hundred and ninety + one hundred and fifty-nine =  answer= five hundred and forty-nine  
eight hundred and thirteen + nine hundred and forty-four =  answer= one thousand seven hundred and seventy-eight 
one hundred and sixty-one + two hundred and twenty-six =  answer= four hundred and eighty-seven  
eight hundred and forty-two + three hundred and thirty-eight =  answer= one thousand one hundred and seventy-nine 
five hundred and ninety-nine + six hundred and twelve =  answer= one thousand seven hundred and twenty-two 
five hundred and forty-two + seven hundred and fifty-one =  answer= one thousand two hundred and ninety-three 
seven hundred and fifty + four hundred and seventy-four =  Answer= one thousand two hundred and twenty-four. 
four hundred and fifty-four + five hundred and eleven =  answer= nine hundred and sixty-five  
seven hundred and fifty-one + seven hundred and sixty-three =  Answer= one thousand four hundred and fifteen. 
eight hundred and thirty-six + six hundred and twenty-six =  answer= one thousand nine hundred and sixty-two 
five hundred and forty-nine + nine hundred and eight =  answer= one thousand four hundred and ninety-seven  
one hundred and twenty + nine hundred and seventy-two =  answer= one thousand and ninety-nine 
nine hundred and sixty-three + three hundred and twenty-six =  Answer= one thousand two hundred eighty-nine. 
four hundred and fifty-three + six hundred and one =  answer= one thousand one hundred and fifty-four  
two hundred and sixty-nine + one hundred and thirteen =  answer= four hundred and eighty-two 
four hundred and thirty-four + eight hundred and eight =  answer= one thousand two hundred and forty-two  
four hundred and six + three hundred and twenty =  answer= seven hundred and eighty-six  
five hundred and sixty-seven + two hundred and ninety-one =  answer= eight hundred and fifty-eight  
two hundred and fifty-five + one hundred and ten =  answer= three hundred and sixty-five 
nine hundred and sixty-seven + two hundred and fifty-six =  answer= one thousand two hundred and twenty-three  
six hundred and sixty-four + two hundred and fourteen =  answer= eight hundred and twenty-eight  
six hundred and forty-seven + seven hundred and fifty-eight =  Answer= one thousand four hundred and ninety-five. 
seven hundred and forty-three + five hundred and fourteen =  Answer= one thousand two hundred and eighty-seven. 
eight hundred and seventy-nine + two hundred and twenty-six =  answer= one thousand and seven hundred and ninety-five 
eight hundred and seventeen + eight hundred and sixteen =  answer=sixteen hundred and ninety-three 
six hundred and fifty-one + one hundred and eighteen =  seven hundred and seventy-nine 
eight hundred and ninety-eight + three hundred and forty-eight =  answer= one thousand four hundred and forty-six 
seven hundred and thirteen + six hundred and eighty-one =  Answer= one thousand four hundred and eleven. 
three hundred and fifty + three hundred and eight =  answer= six hundred and five 
six hundred and ninety + nine hundred and seven =  Answer= one thousand and seventy-seven  
five hundred and nine + four hundred and nine =  answer= one thousand and ninety-eight  
nine hundred and twenty-five + eight hundred and three =  answer= one thousand seven hundred and twenty-eight  
nine hundred and three + five hundred and twenty-seven =  Answer= one thousand four hundred and fifty-seven. 
six hundred and ninety + six hundred and ten =  seven hundred and fifty. 
five hundred and thirteen + eight hundred and eighty-nine =  answer= one thousand four hundred and twenty-two 
two hundred and eighty-six + one hundred and thirty-eight =  answer= four hundred and twenty-four 
eight hundred and ninety-seven + three hundred and sixty-three =  answer= one thousand nine hundred and fifty-nine 
eight hundred and thirty-six + three hundred and sixty-eight =  answer= one thousand two hundred and ninety-four 
three hundred and ninety-six + four hundred and forty-nine =  answer= eight hundred and thirty-five 
seven hundred and seventy-nine + six hundred and two =  answer= one thousand four hundred and seventy-one 
four hundred and ninety-eight + nine hundred and twenty =  answer= one thousand four hundred and eighty-seven 
one hundred and fifty-four + two hundred and eighteen =  answer=three hundred and seventy-two 
six hundred and ninety-eight + one hundred and ninety-two =  seven hundred and eighty. 
four hundred and thirty-two + nine hundred and forty =  answer= one thousand three hundred and seventy-two  
eight hundred and seventy-one + eight hundred and thirty-eight =  answer= one thousand six hundred and ten 
four hundred and nineteen + four hundred and fifteen =  answer= eight hundred and fifty-four 
two hundred and fourteen + three hundred and seventy-six =  answer= five hundred and twenty. 
three hundred and thirty-seven + one hundred and fifty =  answer= four hundred and eighty-seven  
eight hundred and sixty-three + nine hundred and eighty-five =  answer= one thousand seven hundred and forty-eight  
six hundred and twenty-four + eight hundred and seven =  Answer= four thousand nine hundred and ninety-five  
seven hundred and forty-two + five hundred and eighty-four =  answer= one thousand two hundred and twenty-six 
six hundred and sixty-nine + four hundred and seventy-two =  seven hundred and thirty-nine 
one hundred and forty-seven + six hundred and six =  Answer= seven hundred and twenty-three  
seven hundred and twenty-two + four hundred and thirty-eight =  Answer= one thousand one hundred and fifty-nine. 
two hundred and ninety-one + eight hundred and eighty-eight =  answer= one thousand nine hundred and seventy-nine 
five hundred and thirty-five + six hundred and fourteen =  answer= one thousand nine hundred and seventy-nine 
two hundred and sixty-six + one hundred and thirty-two =  answer= four hundred and ninety-eight  
three hundred and nineteen + two hundred and sixty-nine =  answer= five hundred and seventy-eight  
one hundred and thirteen + seven hundred and eighty-three =  Answer= nine hundred and ninety-four  
nine hundred and seventy + seven hundred and sixty-six =  Answer= one thousand six hundred and thirty-six  
three hundred and fifty-four + eight hundred and fifty-four =  answer= one thousand four hundred and five. 
six hundred and forty-one + nine hundred and sixty-six =  answer= one thousand five hundred and eighty-seven 
two hundred and ninety-four + three hundred and eighty-six =  answer= six hundred and seventy-eight 
eight hundred and eight + four hundred and seventy-seven =  Answer= twelve hundred and fifty-seven  
two hundred and forty-six + four hundred and thirty-six =  answer= six hundred and eighty-two 
nine hundred and sixty-six + seven hundred and sixty-seven =  Answer= one thousand six hundred and thirty-three  
three hundred and ninety-four + seven hundred and ninety-five =  answer= one thousand eight hundred and nine. 
one thousand + one hundred and fifty-nine =  answer= one thousand one hundred and sixty-nine  
eight hundred and thirty-six + four hundred and eleven =  answer= twelve hundred and forty-seven  
six hundred and seventy-three + four hundred and eighty-eight =  Answer= one thousand two hundred and sixty-one. 
eight hundred and thirty-eight + five hundred and four =  answer= thirteen hundred and seventy-two  
seven hundred and forty + six hundred and ninety-one =  Answer= one thousand four hundred and thirty-one. 
three hundred and seventy-three + three hundred and sixteen =  answer= seven hundred and forty-nine  
nine hundred and eight + two hundred and twenty-four =  answer= one thousand and ninety-six 
three hundred and fifteen + nine hundred and forty-three =  answer= one thousand four hundred and eighty-eight 
two hundred and ninety-four + six hundred and eleven =  answer= nine hundred and twenty-five 
two hundred and seventy + seven hundred and seventy =  answer= one thousand five hundred and forty-seven  
four hundred and eighty-nine + seven hundred and seventy-nine =  answer= one thousand six hundred and sixty-eight  
eight hundred and eighty-eight + two hundred and thirty-two =  answer= one thousand one hundred and twenty. 
one hundred and forty-nine + two hundred and forty =  answer= six hundred and eighty-nine  
eight hundred and seventy-two + one hundred and ninety-four =  answer= one thousand seven hundred and sixty-six 
five hundred and sixty-five + two hundred and thirteen =  answer= seven hundred and eighty-eight  
one hundred and forty-nine + one hundred and seventy-six =  answer=three hundred and twenty-five 
two hundred and thirteen + two hundred and eighty =  answer= four hundred and twenty-three 
seven hundred and sixty-eight + five hundred and fifty-six =  answer= one thousand two hundred and twenty-four 
five hundred and twenty-three + eight hundred and eighty-five =  answer= one thousand seven hundred and fifty-eight 
eight hundred and forty-six + six hundred and sixty-seven =  Answer= one thousand five hundred twenty-three 
three hundred and eighty-five + four hundred and fifty-seven =  answer= seven hundred and forty-two 
eight hundred and eighteen + five hundred and nineteen =  answer= one thousand four hundred and seventeen 
five hundred and seventy-four + seven hundred and forty =  answer= one thousand twenty-eight 
eight hundred and eighteen + three hundred and seventy-one =  answer= one thousand one hundred and fifty-nine 
two hundred and thirty-eight + six hundred and forty-two =  answer= eight hundred and seventy-nine 
seven hundred and sixty-seven + seven hundred and forty-five =  Answer= one thousand five hundred and ten. 
three hundred and nine + seven hundred and forty-seven =  Answer= one thousand four hundred and forty-six. 
nine hundred and thirty-eight + one hundred and ninety-three =  answer= one thousand two hundred and twenty-one 
nine hundred and thirteen + nine hundred and two =  answer= one thousand eight hundred and fifteen 
one thousand and fifty-nine + six thousand, five hundred and seventy-seven =  Answer= seven million eight hundred and thirty-six. 
three thousand, seven hundred and thirty-four + six thousand, six hundred and sixty-six =  answer= ten thousand, two hundred and ninety-eight 
nine thousand, two hundred and sixty-seven + one thousand, four hundred and fifteen =  Answer= ten thousand, six hundred and twenty-two. 
one thousand, four hundred and seventy-six + three thousand, eight hundred and forty-two =  answer= five million, two hundred and twenty-eight. 
four thousand, seven hundred and ninety-nine + three thousand, one hundred =  answer=seven thousand, eight hundred and ninety-nine  
three thousand, seven hundred and sixty-seven + four thousand, two hundred and fifty-three =  answer= seven thousand, nine hundred and twenty-four  
three thousand, eight hundred and forty-seven + six thousand and fifty-two =  answer= ten thousand, four hundred and ninety-nine 
five thousand, one hundred and forty-one + six thousand, three hundred and forty-six =  answer= eleven thousand, four hundred and eighty-seven  
seven thousand, four hundred and ninety + seven thousand, two hundred and ninety-one =  Answer= fourteen thousand, six hundred and eighty-one. 
one thousand, six hundred and seventy-two + four thousand, nine hundred and ninety-nine =  answer= five thousand, six hundred and seventy-three 
six thousand, two hundred and sixty-two + four thousand, seven hundred and thirty =  answer= ten thousand, nine hundred and twenty-two  
eight thousand and ninety-nine + four thousand, one hundred and two =  Answer= twelve thousand, one hundred and nine. 
eight thousand, six hundred and three + eight thousand, five hundred and fifty-one =  Answer=sixteen thousand one hundred and sixty-four 
four thousand and sixty-one + eight thousand, one hundred and eighty =  answer= twelve thousand, seven hundred and forty-nine  
seven thousand, two hundred and thirty-eight + eight thousand, nine hundred and seventy-seven =  Answer= fifteen thousand, one hundred and ten-five  
eight thousand, nine hundred and seventy-one + three thousand, seven hundred and thirty-four =  Answer= eleven thousand, six hundred and ninety-five. 
one thousand, one hundred and forty-five + one thousand, five hundred and ten =  answer= two thousand, six hundred and forty-five 
nine thousand, five hundred and thirty-six + three thousand, three hundred and nineteen =  Answer= twelve thousand, eight hundred and twenty-five 
two thousand and twenty-six + eight thousand, two hundred and twenty =  answer= ten thousand, four hundred and forty-eight 
seven thousand, six hundred and seventy-five + six thousand, nine hundred and fifty-four =  Answer= thirteen thousand, five hundred and twenty-nine. 
eight thousand, two hundred and twenty + nine thousand and three =  answer= ten thousand, two hundred and twenty-three  
four thousand and fifty-four + five thousand, eight hundred and eighty-seven =  Answer= nine thousand, six hundred and forty-one  
five thousand, nine hundred and forty-five + two thousand, one hundred and twenty-seven =  answer= seven thousand, one hundred and sixty-two  
three thousand, six hundred and thirteen + seven thousand, seven hundred and thirty-four =  answer= ten thousand, three hundred and sixty-seven 
five thousand, two hundred and eighty-seven + six thousand, seven hundred and seventy-four =  answer= eleven thousand, nine hundred and sixty-one  
nine thousand, eight hundred and three + two thousand, nine hundred and one =  Answer= twelve thousand, seven hundred and four  
nine thousand, seven hundred and thirty-six + nine thousand, three hundred and sixty-six =  Answer= nineteen thousand, one hundred and eighty-two 
two thousand, two hundred and ninety-two + four thousand, three hundred and twelve =  answer= six thousand, five hundred and nine 
eight thousand, five hundred and thirty-eight + six thousand, five hundred and ninety-five =  Answer= fourteen thousand, nine hundred and twenty-three  
five thousand, seven hundred and seventy-one + nine thousand, four hundred and forty-seven =  Answer= fifteen thousand, one hundred and ninety-eight  
eight thousand, seven hundred and fifty-two + five thousand, five hundred and eighty =  Answer= thirteen thousand, two hundred and seventeen. 
six thousand, one hundred and sixty-seven + six thousand, one hundred and eighty-nine =  Answer= twelve thousand, two hundred and fifty-six. 
nine thousand, seven hundred and fifty-four + seven thousand, eight hundred and eighty-five =  Answer= seventeen thousand, five hundred and thirty-nine. 
five thousand, three hundred and twenty-seven + four thousand, three hundred and thirty-five =  answer= nine thousand, six hundred and fifty-two  
nine thousand, eight hundred and sixty + nine thousand, six hundred and fifty-two =  Answer= nineteen thousand, four hundred and twenty-two. 
two thousand, five hundred and fifty-one + four thousand and thirty-nine =  answer= six thousand, eight hundred and ninety. 
eight thousand, eight hundred and eighty-one + seven thousand, nine hundred and thirty-eight =  Answer= fifteen thousand, seven hundred and twenty-nine. 
five thousand and seventy-one + nine thousand, two hundred and twenty-five =  Answer= fifteen thousand, seven hundred and ninety-six  
two thousand, four hundred and twenty-five + two thousand, eight hundred and ninety-six =  answer= four thousand, twelve hundred and twenty-one  
two thousand and twenty-five + four thousand, three hundred and twenty-nine =  answer= six thousand, five hundred and fifty-four  
one thousand, one hundred and eighty-three + nine thousand, three hundred and sixty-three =  Answer= ten thousand, four hundred and forty-six 
eight thousand and forty-eight + seven thousand, eight hundred and seventy-six =  Answer= fifteen thousand, six hundred and twenty-four. 
five thousand, two hundred and seventy-six + three thousand, nine hundred and fifty-one =  answer= eight thousand, one hundred and twenty-seven  
four thousand, one hundred and forty-eight + one thousand, two hundred and fifty =  answer= five thousand, three hundred and ninety-three 
seven thousand, one hundred and seventy-four + seven thousand, eight hundred and forty-five =  Answer= fourteen thousand, nine hundred and twenty-nine. 
five thousand, two hundred and seventy-one + seven thousand, five hundred and eight =  Answer= twelve thousand, seven hundred and seventy-nine  
five thousand, six hundred and thirty-nine + four thousand, seven hundred and eighty-four =  answer= nine thousand, three hundred and twenty-three  
six thousand, nine hundred and thirty-six + five thousand, one hundred and twenty-six =  Answer= eleven thousand, zero hundred and fifty-six. 
six thousand, five hundred and eighty-seven + nine thousand, six hundred and seventy-seven =  Answer= fifteen thousand, two hundred and sixty-four. 
nine thousand, four hundred and fourteen + one thousand, nine hundred and thirty-six =  Answer= ten thousand, three hundred and eighty. 
three thousand, six hundred and thirty + four thousand, eight hundred and thirty-six =  answer= seven million, five hundred and sixty-three thousand, nine hundred and forty-four  
two thousand, six hundred and ninety-two + six thousand, four hundred and eighty-three =  answer= nine thousand, one hundred and seventy-five 
