a,b,div_4,div_8,div_12
3,-5,-0.6,-0.6,-0.6
-5,4,-1.25,-1.25,-1.25
4,-5,-0.8,-0.8,-0.8
5,-4,-1.25,-1.25,-1.25
-4,5,-0.8,-0.8,-0.8
-5,6,-0.8333,-0.83333333,-0.833333333333
6,-5,-1.2,-1.2,-1.2
5,-6,-0.8333,-0.83333333,-0.833333333333
-6,5,-1.2,-1.2,-1.2
-5,7,-0.7143,-0.71428571,-0.714285714286
7,-5,-1.4,-1.4,-1.4
5,-7,-0.7143,-0.71428571,-0.714285714286
-7,5,-1.4,-1.4,-1.4
-5,8,-0.625,-0.625,-0.625
8,-5,-1.6,-1.6,-1.6
5,-8,-0.625,-0.625,-0.625
-8,5,-1.6,-1.6,-1.6
-5,-8,0.625,0.625,0.625
-8,-5,1.6,1.6,1.6
-5,9,-0.5556,-0.55555556,-0.555555555556
9,-5,-1.8,-1.8,-1.8
5,-9,-0.5556,-0.55555556,-0.555555555556
-9,5,-1.8,-1.8,-1.8
-5,-9,0.5556,0.55555556,0.555555555556
-9,-5,1.8,1.8,1.8
-6,-1,6.0,6.0,6.0
-1,-6,0.1667,0.16666667,0.166666666667
-6,1,-6.0,-6.0,-6.0
1,-6,-0.1667,-0.16666667,-0.166666666667
6,-1,-6.0,-6.0,-6.0
-1,6,-0.1667,-0.16666667,-0.166666666667
-6,2,-3.0,-3.0,-3.0
2,-6,-0.3333,-0.33333333,-0.333333333333
6,-2,-3.0,-3.0,-3.0
-2,6,-0.3333,-0.33333333,-0.333333333333
-6,-2,3.0,3.0,3.0
-2,-6,0.3333,0.33333333,0.333333333333
-6,-3,2.0,2.0,2.0
-3,-6,0.5,0.5,0.5
-6,3,-2.0,-2.0,-2.0
3,-6,-0.5,-0.5,-0.5
6,-3,-2.0,-2.0,-2.0
-3,6,-0.5,-0.5,-0.5
-6,4,-1.5,-1.5,-1.5
4,-6,-0.6667,-0.66666667,-0.666666666667
6,-4,-1.5,-1.5,-1.5
-4,6,-0.6667,-0.66666667,-0.666666666667
-6,-4,1.5,1.5,1.5
-4,-6,0.6667,0.66666667,0.666666666667
-6,-5,1.2,1.2,1.2
-5,-6,0.8333,0.83333333,0.833333333333
-6,5,-1.2,-1.2,-1.2
5,-6,-0.8333,-0.83333333,-0.833333333333
6,-5,-1.2,-1.2,-1.2
-5,6,-0.8333,-0.83333333,-0.833333333333
-6,-7,0.8571,0.85714286,0.857142857143
-7,-6,1.1667,1.16666667,1.166666666667
-6,7,-0.8571,-0.85714286,-0.857142857143
7,-6,-1.1667,-1.16666667,-1.166666666667
6,-7,-0.8571,-0.85714286,-0.857142857143
-7,6,-1.1667,-1.16666667,-1.166666666667
-6,-8,0.75,0.75,0.75
-8,-6,1.3333,1.33333333,1.333333333333
-6,8,-0.75,-0.75,-0.75
8,-6,-1.3333,-1.33333333,-1.333333333333
6,-8,-0.75,-0.75,-0.75
-8,6,-1.3333,-1.33333333,-1.333333333333
-6,-9,0.6667,0.66666667,0.666666666667
-9,-6,1.5,1.5,1.5
-6,9,-0.6667,-0.66666667,-0.666666666667
9,-6,-1.5,-1.5,-1.5
6,-9,-0.6667,-0.66666667,-0.666666666667
-9,6,-1.5,-1.5,-1.5
-7,-1,7.0,7.0,7.0
-1,-7,0.1429,0.14285714,0.142857142857
-7,1,-7.0,-7.0,-7.0
1,-7,-0.1429,-0.14285714,-0.142857142857
7,-1,-7.0,-7.0,-7.0
-1,7,-0.1429,-0.14285714,-0.142857142857
-7,2,-3.5,-3.5,-3.5
2,-7,-0.2857,-0.28571429,-0.285714285714
7,-2,-3.5,-3.5,-3.5
-2,7,-0.2857,-0.28571429,-0.285714285714
-7,-2,3.5,3.5,3.5
-2,-7,0.2857,0.28571429,0.285714285714
-7,3,-2.3333,-2.33333333,-2.333333333333
3,-7,-0.4286,-0.42857143,-0.428571428571
7,-3,-2.3333,-2.33333333,-2.333333333333
-3,7,-0.4286,-0.42857143,-0.428571428571
-7,-3,2.3333,2.33333333,2.333333333333
-3,-7,0.4286,0.42857143,0.428571428571
-7,4,-1.75,-1.75,-1.75
4,-7,-0.5714,-0.57142857,-0.571428571429
7,-4,-1.75,-1.75,-1.75
-4,7,-0.5714,-0.57142857,-0.571428571429
-7,-4,1.75,1.75,1.75
-4,-7,0.5714,0.57142857,0.571428571429
-7,5,-1.4,-1.4,-1.4
5,-7,-0.7143,-0.71428571,-0.714285714286
7,-5,-1.4,-1.4,-1.4
-5,7,-0.7143,-0.71428571,-0.714285714286
-7,-5,1.4,1.4,1.4
-5,-7,0.7143,0.71428571,0.714285714286
-7,-6,1.1667,1.16666667,1.166666666667
-6,-7,0.8571,0.85714286,0.857142857143
-7,6,-1.1667,-1.16666667,-1.166666666667
6,-7,-0.8571,-0.85714286,-0.857142857143
7,-6,-1.1667,-1.16666667,-1.166666666667
-6,7,-0.8571,-0.85714286,-0.857142857143
-7,8,-0.875,-0.875,-0.875
8,-7,-1.1429,-1.14285714,-1.142857142857
7,-8,-0.875,-0.875,-0.875
-8,7,-1.1429,-1.14285714,-1.142857142857
-7,-8,0.875,0.875,0.875
-8,-7,1.1429,1.14285714,1.142857142857
-7,-9,0.7778,0.77777778,0.777777777778
-9,-7,1.2857,1.28571429,1.285714285714
-7,9,-0.7778,-0.77777778,-0.777777777778
9,-7,-1.2857,-1.28571429,-1.285714285714
7,-9,-0.7778,-0.77777778,-0.777777777778
-9,7,-1.2857,-1.28571429,-1.285714285714
-8,-1,8.0,8.0,8.0
-1,-8,0.125,0.125,0.125
-8,1,-8.0,-8.0,-8.0
1,-8,-0.125,-0.125,-0.125
8,-1,-8.0,-8.0,-8.0
-1,8,-0.125,-0.125,-0.125
-8,2,-4.0,-4.0,-4.0
2,-8,-0.25,-0.25,-0.25
8,-2,-4.0,-4.0,-4.0
-2,8,-0.25,-0.25,-0.25
-8,-2,4.0,4.0,4.0
-2,-8,0.25,0.25,0.25
-8,-3,2.6667,2.66666667,2.666666666667
-3,-8,0.375,0.375,0.375
-8,3,-2.6667,-2.66666667,-2.666666666667
3,-8,-0.375,-0.375,-0.375
8,-3,-2.6667,-2.66666667,-2.666666666667
-3,8,-0.375,-0.375,-0.375
-8,-4,2.0,2.0,2.0
-4,-8,0.5,0.5,0.5
-8,4,-2.0,-2.0,-2.0
4,-8,-0.5,-0.5,-0.5
8,-4,-2.0,-2.0,-2.0
-4,8,-0.5,-0.5,-0.5
-8,5,-1.6,-1.6,-1.6
5,-8,-0.625,-0.625,-0.625
8,-5,-1.6,-1.6,-1.6
-5,8,-0.625,-0.625,-0.625
-8,-5,1.6,1.6,1.6
-5,-8,0.625,0.625,0.625
-8,6,-1.3333,-1.33333333,-1.333333333333
6,-8,-0.75,-0.75,-0.75
8,-6,-1.3333,-1.33333333,-1.333333333333
-6,8,-0.75,-0.75,-0.75
-8,-6,1.3333,1.33333333,1.333333333333
-6,-8,0.75,0.75,0.75
-8,7,-1.1429,-1.14285714,-1.142857142857
7,-8,-0.875,-0.875,-0.875
8,-7,-1.1429,-1.14285714,-1.142857142857
-7,8,-0.875,-0.875,-0.875
-8,-7,1.1429,1.14285714,1.142857142857
-7,-8,0.875,0.875,0.875
-8,-9,0.8889,0.88888889,0.888888888889
-9,-8,1.125,1.125,1.125
-8,9,-0.8889,-0.88888889,-0.888888888889
9,-8,-1.125,-1.125,-1.125
8,-9,-0.8889,-0.88888889,-0.888888888889
-9,8,-1.125,-1.125,-1.125
-9,1,-9.0,-9.0,-9.0
1,-9,-0.1111,-0.11111111,-0.111111111111
9,-1,-9.0,-9.0,-9.0
-1,9,-0.1111,-0.11111111,-0.111111111111
-9,-1,9.0,9.0,9.0
-1,-9,0.1111,0.11111111,0.111111111111
-9,2,-4.5,-4.5,-4.5
2,-9,-0.2222,-0.22222222,-0.222222222222
9,-2,-4.5,-4.5,-4.5
-2,9,-0.2222,-0.22222222,-0.222222222222
-9,-2,4.5,4.5,4.5
-2,-9,0.2222,0.22222222,0.222222222222
-9,-3,3.0,3.0,3.0
-3,-9,0.3333,0.33333333,0.333333333333
-9,3,-3.0,-3.0,-3.0
3,-9,-0.3333,-0.33333333,-0.333333333333
9,-3,-3.0,-3.0,-3.0
-3,9,-0.3333,-0.33333333,-0.333333333333
-9,4,-2.25,-2.25,-2.25
4,-9,-0.4444,-0.44444444,-0.444444444444
9,-4,-2.25,-2.25,-2.25
-4,9,-0.4444,-0.44444444,-0.444444444444
-9,-4,2.25,2.25,2.25
-4,-9,0.4444,0.44444444,0.444444444444
-9,5,-1.8,-1.8,-1.8
5,-9,-0.5556,-0.55555556,-0.555555555556
9,-5,-1.8,-1.8,-1.8
-5,9,-0.5556,-0.55555556,-0.555555555556
-9,-5,1.8,1.8,1.8
-5,-9,0.5556,0.55555556,0.555555555556
-9,-6,1.5,1.5,1.5
-6,-9,0.6667,0.66666667,0.666666666667
-9,6,-1.5,-1.5,-1.5
6,-9,-0.6667,-0.66666667,-0.666666666667
9,-6,-1.5,-1.5,-1.5
-6,9,-0.6667,-0.66666667,-0.666666666667
-9,7,-1.2857,-1.28571429,-1.285714285714
7,-9,-0.7778,-0.77777778,-0.777777777778
9,-7,-1.2857,-1.28571429,-1.285714285714
-7,9,-0.7778,-0.77777778,-0.777777777778
-9,-7,1.2857,1.28571429,1.285714285714
-7,-9,0.7778,0.77777778,0.777777777778
-9,-8,1.125,1.125,1.125
-8,-9,0.8889,0.88888889,0.888888888889
-9,8,-1.125,-1.125,-1.125
8,-9,-0.8889,-0.88888889,-0.888888888889
9,-8,-1.125,-1.125,-1.125
-8,9,-0.8889,-0.88888889,-0.888888888889
47,19,2.4737,2.47368421,2.473684210526
19,47,0.4043,0.40425532,0.404255319149
69,27,2.5556,2.55555556,2.555555555556
27,69,0.3913,0.39130435,0.391304347826
63,46,1.3696,1.36956522,1.369565217391
46,63,0.7302,0.73015873,0.730158730159
67,26,2.5769,2.57692308,2.576923076923
26,67,0.3881,0.3880597,0.388059701493
98,95,1.0316,1.03157895,1.031578947368
95,98,0.9694,0.96938776,0.969387755102
51,23,2.2174,2.2173913,2.217391304348
23,51,0.451,0.45098039,0.450980392157
98,88,1.1136,1.11363636,1.113636363636
88,98,0.898,0.89795918,0.897959183673
91,77,1.1818,1.18181818,1.181818181818
77,91,0.8462,0.84615385,0.846153846154
68,86,0.7907,0.79069767,0.790697674419
86,68,1.2647,1.26470588,1.264705882353
69,59,1.1695,1.16949153,1.169491525424
59,69,0.8551,0.85507246,0.855072463768
60,77,0.7792,0.77922078,0.779220779221
77,60,1.2833,1.28333333,1.283333333333
65,19,3.4211,3.42105263,3.421052631579
19,65,0.2923,0.29230769,0.292307692308
87,55,1.5818,1.58181818,1.581818181818
55,87,0.6322,0.63218391,0.632183908046
55,56,0.9821,0.98214286,0.982142857143
56,55,1.0182,1.01818182,1.018181818182
53,77,0.6883,0.68831169,0.688311688312
77,53,1.4528,1.45283019,1.452830188679
85,49,1.7347,1.73469388,1.734693877551
49,85,0.5765,0.57647059,0.576470588235
52,54,0.963,0.96296296,0.962962962963
54,52,1.0385,1.03846154,1.038461538462
25,79,0.3165,0.3164557,0.316455696203
79,25,3.16,3.16,3.16
35,14,2.5,2.5,2.5
14,35,0.4,0.4,0.4
47,11,4.2727,4.27272727,4.272727272727
11,47,0.234,0.23404255,0.234042553191
17,23,0.7391,0.73913043,0.739130434783
23,17,1.3529,1.35294118,1.352941176471
48,51,0.9412,0.94117647,0.941176470588
51,48,1.0625,1.0625,1.0625
15,52,0.2885,0.28846154,0.288461538462
52,15,3.4667,3.46666667,3.466666666667
84,33,2.5455,2.54545455,2.545454545455
33,84,0.3929,0.39285714,0.392857142857
80,46,1.7391,1.73913043,1.739130434783
46,80,0.575,0.575,0.575
41,19,2.1579,2.15789474,2.157894736842
19,41,0.4634,0.46341463,0.463414634146
65,97,0.6701,0.67010309,0.670103092784
97,65,1.4923,1.49230769,1.492307692308
16,90,0.1778,0.17777778,0.177777777778
90,16,5.625,5.625,5.625
23,33,0.697,0.6969697,0.69696969697
33,23,1.4348,1.43478261,1.434782608696
67,97,0.6907,0.69072165,0.690721649485
97,67,1.4478,1.44776119,1.44776119403
44,40,1.1,1.1,1.1
40,44,0.9091,0.90909091,0.909090909091
85,65,1.3077,1.30769231,1.307692307692
65,85,0.7647,0.76470588,0.764705882353
47,90,0.5222,0.52222222,0.522222222222
90,47,1.9149,1.91489362,1.914893617021
61,30,2.0333,2.03333333,2.033333333333
30,61,0.4918,0.49180328,0.491803278689
79,49,1.6122,1.6122449,1.612244897959
49,79,0.6203,0.62025316,0.620253164557
86,47,1.8298,1.82978723,1.829787234043
47,86,0.5465,0.54651163,0.546511627907
28,29,0.9655,0.96551724,0.965517241379
29,28,1.0357,1.03571429,1.035714285714
89,91,0.978,0.97802198,0.978021978022
91,89,1.0225,1.02247191,1.022471910112
96,35,2.7429,2.74285714,2.742857142857
35,96,0.3646,0.36458333,0.364583333333
49,66,0.7424,0.74242424,0.742424242424
66,49,1.3469,1.34693878,1.34693877551
63,55,1.1455,1.14545455,1.145454545455
55,63,0.873,0.87301587,0.873015873016
29,84,0.3452,0.3452381,0.345238095238
84,29,2.8966,2.89655172,2.896551724138
95,82,1.1585,1.15853659,1.158536585366
82,95,0.8632,0.86315789,0.863157894737
38,58,0.6552,0.65517241,0.655172413793
58,38,1.5263,1.52631579,1.526315789474
53,96,0.5521,0.55208333,0.552083333333
96,53,1.8113,1.81132075,1.811320754717
92,13,7.0769,7.07692308,7.076923076923
13,92,0.1413,0.14130435,0.141304347826
65,44,1.4773,1.47727273,1.477272727273
44,65,0.6769,0.67692308,0.676923076923
31,53,0.5849,0.58490566,0.584905660377
53,31,1.7097,1.70967742,1.709677419355
87,23,3.7826,3.7826087,3.782608695652
23,87,0.2644,0.26436782,0.264367816092
42,13,3.2308,3.23076923,3.230769230769
13,42,0.3095,0.30952381,0.309523809524
75,85,0.8824,0.88235294,0.882352941176
85,75,1.1333,1.13333333,1.133333333333
89,77,1.1558,1.15584416,1.155844155844
77,89,0.8652,0.86516854,0.865168539326
86,93,0.9247,0.92473118,0.924731182796
93,86,1.0814,1.08139535,1.081395348837
69,40,1.725,1.725,1.725
40,69,0.5797,0.57971014,0.579710144928
48,17,2.8235,2.82352941,2.823529411765
17,48,0.3542,0.35416667,0.354166666667
89,76,1.1711,1.17105263,1.171052631579
76,89,0.8539,0.85393258,0.85393258427
75,14,5.3571,5.35714286,5.357142857143
14,75,0.1867,0.18666667,0.186666666667
20,67,0.2985,0.29850746,0.298507462687
67,20,3.35,3.35,3.35
94,79,1.1899,1.18987342,1.189873417722
79,94,0.8404,0.84042553,0.840425531915
63,71,0.8873,0.88732394,0.887323943662
71,63,1.127,1.12698413,1.126984126984
39,28,1.3929,1.39285714,1.392857142857
28,39,0.7179,0.71794872,0.717948717949
39,96,0.4062,0.40625,0.40625
96,39,2.4615,2.46153846,2.461538461538
18,16,1.125,1.125,1.125
16,18,0.8889,0.88888889,0.888888888889
21,48,0.4375,0.4375,0.4375
48,21,2.2857,2.28571429,2.285714285714
96,78,1.2308,1.23076923,1.230769230769
78,96,0.8125,0.8125,0.8125
71,46,1.5435,1.54347826,1.54347826087
46,71,0.6479,0.64788732,0.647887323944
46,14,3.2857,3.28571429,3.285714285714
14,46,0.3043,0.30434783,0.304347826087
81,29,2.7931,2.79310345,2.793103448276
29,81,0.358,0.35802469,0.358024691358
59,67,0.8806,0.88059701,0.880597014925
67,59,1.1356,1.13559322,1.135593220339
84,76,1.1053,1.10526316,1.105263157895
76,84,0.9048,0.9047619,0.904761904762
6,79,0.0759,0.07594937,0.075949367089
79,6,13.1667,13.16666667,13.166666666667
8,39,0.2051,0.20512821,0.205128205128
39,8,4.875,4.875,4.875
5,95,0.0526,0.05263158,0.052631578947
95,5,19.0,19.0,19.0
5,48,0.1042,0.10416667,0.104166666667
48,5,9.6,9.6,9.6
9,15,0.6,0.6,0.6
15,9,1.6667,1.66666667,1.666666666667
4,46,0.087,0.08695652,0.086956521739
46,4,11.5,11.5,11.5
2,80,0.025,0.025,0.025
80,2,40.0,40.0,40.0
8,53,0.1509,0.1509434,0.150943396226
53,8,6.625,6.625,6.625
7,82,0.0854,0.08536585,0.085365853659
82,7,11.7143,11.71428571,11.714285714286
9,34,0.2647,0.26470588,0.264705882353
34,9,3.7778,3.77777778,3.777777777778
7,29,0.2414,0.24137931,0.241379310345
29,7,4.1429,4.14285714,4.142857142857
6,58,0.1034,0.10344828,0.103448275862
58,6,9.6667,9.66666667,9.666666666667
9,45,0.2,0.2,0.2
45,9,5.0,5.0,5.0
5,59,0.0847,0.08474576,0.084745762712
59,5,11.8,11.8,11.8
