2 =  factors = [1, 2] 
739 =  factors = [1, 3, 29, 739] 
751 =  factors = [1, 3, 9, 27, 751] 
769 =  factors = [3, 9, 27, 769] 
787 =  factors = [1, 3, 29, 787] 
821 =  factors = [1, 7, 49, 821] 
823 =  factors = [1, 79, 143, 823] 
827 =  factors = [1, 3, 9, 27, 827] 
829 =  factors = [1, 7, 49, 829] 
853 =  factors = [1, 3, 9, 27, 853] 
863 =  factors = [29, 37, 863] 
877 =  factors = [1, 3, 9, 29, 877] 
881 =  factors = [1, 7, 49, 881] 
883 =  factors = [1, 3, 9, 27, 883] 
887 =  factors = [1, 3, 9, 29, 887] 
911 =  factors = [1, 3, 7, 21, 911] 
937 =  factors = [1, 3, 29, 937] 
947 =  factors = [1, 3, 29, 947] 
953 =  factors = [1, 3, 9, 27, 953] 
967 =  factors= [1, 3, 23, 967] 
977 =  factors = [1, 3, 29, 977] 
991 =  factors = [1, 7, 41, 991] 
997 =  factors = [1, 3, 23, 997] 
1021 =  factors = [1, 7, 19, 1021] 
1031 =  factors = [1, 7, 49, 1031] 
1039 =  factors = [1, 7, 49, 1039] 
1049 =  factors = [2, 3, 67, 1049] 
1061 =  factors = [29, 37, 54, 1061] 
1063 =  factors = [2, 3, 69, 1063] 
1069 =  factors = [2, 3, 6, 7, 18, 34, 1069] 
1087 =  factors = [1, 3, 9, 27, 81, 1087] 
1091 =  factors = [1, 7, 43, 1091] 
1109 =  factors = [1, 7, 49, 1109] 
1129 =  factors = [1, 7, 49, 1129] 
1151 =  factors = [1, 3, 9, 27, 81, 1151] 
1153 =  factors = [1, 3, 9, 11, 13, 15, 27, 39, 43, 69, 87, 1153] 
1163 =  factors = [1, 2, 4, 79, 1163] 
1171 =  factors = [1, 3, 9, 27, 83, 1171] 
1181 =  factors = [1, 7, 49, 1181] 
1193 =  factors = [1, 7, 41, 293, 1193] 
1201 =  factors = [1, 7, 49, 1201] 
1213 =  factors = [1, 7, 9, 63, 1213] 
1217 =  factors = [1, 3, 9, 13, 19, 27, 33, 43, 59, 87, 1217] 
1237 =  factors = [1, 3, 9, 27, 81, 1237] 
1249 =  factors = [1, 7, 49, 1249] 
1259 =  factors = [1, 3, 9, 27, 81, 1259] 
1277 =  factors = [1, 3, 9, 27, 81, 243, 729] 
1279 =  factors = [1, 3, 23, 89, 243, 1279] 
1291 =  factors = [1, 7, 49, 1291] 
1301 =  factors = [1, 7, 13, 91, 1301] 
1303 =  factors = [1, 3, 9, 13, 19, 27, 33, 43, 59, 87, 1303] 
1327 =  factors = [1, 3, 9, 27, 13, 23, 39, 1327] 
1361 =  factors = [1, 7, 49, 1361] 
1367 =  factors = [1, 2, 4, 89, 1367] 
1399 =  factors = [1, 7, 41, 299, 1399] 
1423 =  factors = [1, 79, 143, 23, 3, 9, 16, 21] 
1427 =  factors = [1, 3, 9, 27, 81, 1427] 
1433 =  factors = [1, 79, 101, 1433] 
1447 =  factors = [1, 3, 9, 27, 81, 1447] 
1451 =  factors = [1, 3, 9, 27, 81, 243, 729] 
1481 =  factors = [1, 7, 49, 1481] 
1483 =  factors = [1, 79, 1483] 
1487 =  factors = [1, 3, 9, 27, 81, 1487] 
1489 =  factors = [1, 7, 49, 1489] 
1511 =  factors = [1, 7, 11, 1511] 
1531 =  factors = [1, 79, 1531] 
1543 =  factors = [1, 3, 9, 15, 43, 139, 478] 
1549 =  factors = [1, 7, 49, 1549] 
1553 =  factors = [1, 3, 9, 15, 45, 1553] 
1567 =  factors = [1, 3, 9, 15, 1567] 
1597 =  factors = [1, 3, 29, 1597] 
1607 =  factors = [1, 2, 3, 4, 6, 9, 18, 32, 51, 1607] 
1609 =  factors = [2, 3, 9, 18, 1609] 
1619 =  factors = [1, 7, 49, 1619] 
1663 =  factors = [1, 2, 3, 6, 9, 18, 37, 64, 1663] 
1669 =  factors = [1, 7, 41, 289, 1669] 
1693 =  factors = [1, 7, 49, 1693] 
1697 =  factors = [1, 3, 29, 83, 1697] 
1709 =  factors = [1, 3, 9, 27, 81, 1709] 
1721 =  factors = [1, 3, 9, 17, 21, 63, 1721] 
1747 =  factors = [1, 29, 1747] 
1753 =  factors = [1, 3, 9, 27, 81, 1753] 
1759 =  factors = [1, 3, 9, 27, 81, 1759] 
1787 =  factors = [1, 2, 3, 6, 9, 18, 36, 1787] 
1801 =  factors = [1, 3, 9, 27, 81, 1801] 
1811 =  factors = [1, 7, 69, 1811] 
1823 =  factors = [1, 79, 1823] 
1831 =  factors = [1, 79, 1831] 
1847 =  factors = [1, 2, 3, 69, 1847] 
1861 =  factors = [1, 79, 1861] 
1867 =  factors = [1, 2, 3, 9, 18, 37, 1867] 
1879 =  factors = [1, 3, 9, 27, 1879] 
1913 =  factors = [1, 7, 47, 1913] 
1933 =  factors = [1, 7, 29, 1933] 
1949 =  factors = [1, 7, 49, 1949] 
1973 =  factors = [1, 3, 9, 19, 27, 33, 51, 69, 1973] 
1997 =  factors = [1, 3, 29, 989, 1997] 
2003 =  factors = [1, 3, 9, 27, 69, 2003] 
2017 =  factors = [1, 3, 69, 2017] 
2039 =  factors = [1, 7, 49, 2039] 
2053 =  factors = [1, 3, 9, 27, 81, 2053] 
2063 =  factors = [1, 79, 2063] 
2069 =  factors = [1, 3, 9, 27, 83, 2069] 
2081 =  factors = [1, 7, 49, 2081] 
2083 =  factors = [1, 7, 49, 2083] 
2099 =  factors = [1, 3, 9, 27, 2099] 
2113 =  factors = [1, 7, 49, 2113] 
2129 =  factors = [1, 7, 49, 2129] 
2131 =  factors = [1, 79, 143, 2131] 
2143 =  factors = [1, 79, 109, 147, 2143] 
2161 =  factors = [1, 3, 9, 27, 81, 2161] 
2179 =  factors = [1, 3, 61, 2179] 
2207 =  factors = [1, 3, 9, 27, 81, 2207] 
2221 =  factors = [1, 3, 9, 27, 69, 2221] 
2237 =  factors = [1, 3, 9, 2237] 
2239 =  factors = [3, 7, 23, 43, 2239] 
2243 =  factors = [1, 79, 2243] 
2273 =  factors = [1, 3, 9, 2273] 
2281 =  factors = [1, 7, 49, 2281] 
2293 =  factors = [1, 7, 41, 2293] 
2347 =  factors = [1, 3, 9, 23, 29, 87, 2347] 
2351 =  factors = [1, 3, 9, 27, 81, 2351] 
2357 =  factors = [1, 3, 9, 23, 29, 87, 2357] 
2381 =  factors = [1, 7, 49, 2381] 
2383 =  factors = [1, 79, 2383] 
2393 =  factors = [1, 7, 41, 2393] 
2399 =  factors = [1, 7, 49, 2399] 
2441 =  factors = [1, 7, 49, 2441] 
2447 =  factors = [1, 3, 9, 2447] 
2459 =  factors = [1, 3, 9, 27, 81, 2459] 
2477 =  factors = [1, 3, 9, 2477] 
2543 =  factors = [1, 7, 49, 2543] 
2551 =  factors = [1, 3, 9, 27, 81, 243, 729] 
2579 =  factors = [1, 3, 61, 2579] 
2591 =  factors = [1, 7, 49, 2591] 
2609 =  factors = [1, 7, 49, 2609] 
2617 =  factors = [1, 3, 9, 27, 81, 243, 2617] 
2633 =  factors = [1, 3, 9, 27, 81, 243, 2633] 
2657 =  factors = [1, 3, 9, 27, 81, 243, 729] 
2663 =  factors = [1, 3, 9, 27, 81, 2663] 
2671 =  factors = [1, 3, 9, 27, 81, 2671] 
2683 =  factors = [1, 7, 49, 2683] 
2689 =  factors = [1, 7, 49, 2689] 
2693 =  factors = [1, 7, 49, 2693] 
2699 =  factors = [1, 7, 49, 2699] 
2711 =  factors = [1, 3, 9, 27, 81, 243, 2711] 
2719 =  factors = [1, 3, 61, 2719] 
2729 =  factors = [1, 3, 9, 27, 81, 2729] 
2741 =  factors = [1, 3, 9, 27, 81, 2741] 
2749 =  factors = [1, 3, 9, 27, 81, 2749] 
2753 =  factors = [1, 3, 9, 27, 81, 2753] 
2767 =  factors = [1, 3, 9, 27, 81, 2767] 
2777 =  factors = [1, 3, 9, 27, 81, 2777] 
2789 =  factors = [1, 3, 9, 27, 2789] 
2791 =  factors = [1, 3, 61, 2791] 
2797 =  factors = [1, 3, 69, 2797] 
2803 =  factors = [1, 3, 9, 27, 81, 243, 2803] 
2819 =  factors = [1, 7, 49, 2819] 
2837 =  factors = [1, 3, 9, 27, 2837] 
2843 =  factors = [1, 79, 2843] 
2857 =  factors = [1, 3, 9, 27, 81, 243, 2857] 
2861 =  factors = [1, 79, 2861] 
2917 =  factors = [1, 3, 61, 2917] 
2927 =  factors = [1, 3, 9, 27, 81, 243, 2927] 
2939 =  factors = [1, 7, 49, 2939] 
3011 =  factors = [1, 3, 9, 27, 3011] 
3023 =  factors = [1, 79, 23, 3023] 
3067 =  factors = [1, 2, 3, 9, 18, 3067] 
3079 =  factors = [1, 3, 29, 3079] 
3089 =  factors = [1, 7, 49, 3089] 
3109 =  factors = [1, 3, 9, 27, 3109] 
3167 =  factors = [1, 2, 3, 4, 6, 9, 18, 3167] 
3169 =  factors = [1, 2, 4, 7, 8, 14, 28, 3169] 
3181 =  factors = [1, 79, 239, 3181] 
3187 =  factors = [1, 3, 9, 27, 3187] 
3221 =  factors = [1, 3, 9, 27, 3221] 
3253 =  factors = [1, 3, 9, 27, 81, 3253] 
3257 =  factors = [1, 3, 9, 27, 81, 243, 3257] 
3271 =  factors = [1, 3, 9, 27, 3271] 
3299 =  factors = [1, 7, 49, 3299] 
3307 =  factors = [1, 3, 9, 27, 3307] 
3313 =  factors = [1, 7, 29, 3313] 
3319 =  factors = [1, 7, 41, 289, 3319] 
3347 =  factors = [1, 29, 31, 62, 189, 3347] 
3361 =  factors = [1, 7, 49, 3361] 
3373 =  factors = [1, 3, 9, 27, 3373] 
3389 =  factors = [1, 7, 49, 3389] 
3391 =  factors = [1, 7, 47, 3391] 
3413 =  factors = [1, 7, 29, 3413] 
3433 =  factors = [1, 3, 9, 27, 3433] 
3457 =  factors = [1, 3, 9, 27, 81, 3457] 
3461 =  factors = [1, 7, 29, 3461] 
3463 =  factors = [1, 7, 29, 3463] 
3467 =  factors = [1, 3, 9, 27, 3467] 
3469 =  factors = [1, 7, 49, 3469] 
3499 =  factors = [1, 7, 49, 349] 
3511 =  factors = [1, 7, 49, 3511] 
3529 =  factors = [1, 7, 49, 3529] 
3541 =  factors = [1, 7, 29, 3541] 
3547 =  factors = [1, 3, 9, 27, 3547] 
3571 =  factors = [1, 3, 9, 27, 83, 246, 3571] 
3581 =  factors = [1, 7, 49, 3581] 
3583 =  factors = [1, 79, 239, 3583] 
3613 =  factors = [1, 79, 23, 3613] 
3631 =  factors = [1, 79, 237, 3631] 
3643 =  factors = [1, 7, 29, 37, 109, 218, 3643] 
3659 =  factors = [1, 3, 9, 27, 81, 243, 3659] 
3671 =  factors = [1, 3, 9, 27, 81, 3671] 
3673 =  factors = [1, 3, 9, 27, 3673] 
3701 =  factors = [1, 3, 9, 27, 3701] 
3719 =  factors = [1, 3, 61, 3719] 
3727 =  factors = [1, 3, 9, 27, 3727] 
3739 =  factors = [1, 3, 9, 27, 3739] 
3761 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 108, 3761] 
3779 =  factors = [1, 3, 9, 27, 3779] 
3793 =  factors = [1, 3, 9, 27, 3793] 
3797 =  factors = [1, 3, 29, 83, 3797] 
3821 =  factors = [1, 7, 49, 3821] 
3847 =  factors = [1, 3, 9, 27, 3847] 
3851 =  factors = [1, 3, 9, 27, 3851] 
3853 =  factors = [1, 3, 9, 27, 3853] 
3911 =  factors = [1, 7, 41, 289, 3911] 
3923 =  factors = [1, 7, 49, 3923] 
3931 =  factors = [1, 7, 41, 289, 3931] 
3967 =  factors = [1, 2, 3, 4, 6, 9, 18, 36, 3967] 
3989 =  factors = [1, 7, 49, 3989] 
4003 =  factors = [1, 3, 9, 27, 33, 4003] 
4007 =  factors = [1, 3, 29, 4007] 
4019 =  factors = [1, 7, 49, 67, 4019] 
4049 =  factors = [2, 7, 49, 867, 4049] 
4051 =  factors = [1, 3, 9, 27, 4051] 
4057 =  factors = [1, 3, 29, 4057] 
4073 =  factors = [1, 3, 9, 27, 4073] 
4079 =  factors = [1, 3, 29, 4079] 
4127 =  factors = [1, 3, 9, 27, 41, 83, 129, 4127] 
4129 =  factors = [1, 7, 49, 67, 303, 4129] 
4133 =  factors = [1, 7, 29, 4133] 
4139 =  factors = [1, 7, 41, 4139] 
4153 =  factors = [1, 3, 9, 27, 81, 4153] 
4159 =  factors = [1, 3, 27, 4159] 
4201 =  factors = [1, 7, 49, 63, 4201] 
4241 =  factors = [1, 7, 49, 343, 4241] 
4243 =  factors = [1, 7, 49, 609, 4243] 
4261 =  factors = [1, 7, 49, 343, 4261] 
4271 =  factors = [1, 3, 9, 27, 4271] 
4283 =  factors = [1, 7, 49, 67, 4283] 
4289 =  factors = [1, 7, 49, 67, 4289] 
4297 =  factors = [1, 3, 61, 4297] 
4327 =  factors = [1, 3, 9, 27, 81, 4327] 
4337 =  factors = [1, 3, 9, 27, 4337] 
4339 =  factors = [1, 7, 43, 61, 433] 
4349 =  factors = [1, 7, 43, 61, 293, 4349] 
4357 =  factors = [1, 3, 9, 27, 81, 4357] 
4391 =  factors = [1, 7, 43, 29, 343, 4391] 
4397 =  factors = [1, 3, 29, 4397] 
4409 =  factors = [1, 7, 49, 623, 4409] 
4421 =  factors = [1, 7, 41, 4421] 
4423 =  factors = [1, 7, 49, 67, 308, 4423] 
4451 =  factors = [1, 3, 9, 27, 81, 4451] 
4457 =  factors = [1, 3, 9, 27, 81, 4457] 
4481 =  factors = [1, 7, 49, 67, 303, 2309, 4481] 
4483 =  factors = [1, 7, 29, 4483] 
4493 =  factors = [1, 7, 23, 4493] 
4507 =  factors = [1, 3, 9, 27, 4507] 
4513 =  factors = [1, 3, 9, 27, 4513] 
4519 =  factors = [1, 7, 49, 63, 4519] 
4561 =  factors = [1, 2, 3, 6, 9, 18, 45, 47, 94, 135, 189, 270, 4561] 
4583 =  factors = [1, 7, 29, 4583] 
4597 =  factors = [1, 3, 23, 47, 143, 683, 4597] 
4603 =  factors = [1, 79, 23, 389, 4603] 
4639 =  factors = [1, 7, 43, 4639] 
4643 =  factors = [1, 7, 29, 4643] 
4649 =  factors = [1, 7, 49, 627, 4649] 
4679 =  factors = [1, 3, 23, 4679] 
4703 =  factors = [1, 3, 9, 27, 4703] 
4723 =  factors = [1, 3, 9, 27, 81, 4723] 
4729 =  factors = [1, 3, 9, 27, 47, 81, 163, 4729] 
4733 =  factors = [1, 3, 9, 27, 81, 4733] 
4751 =  factors = [1, 3, 9, 27, 81, 243, 4751] 
4783 =  factors = [1, 3, 9, 27, 4783] 
4787 =  factors = [1, 3, 9, 27, 4787] 
4861 =  factors = [1, 7, 49, 62, 4861] 
4877 =  factors = [1, 3, 29, 37, 43, 61, 73, 83, 109, 127, 149, 167, 213, 253, 289, 327] 
4889 =  factors = [2, 7, 13, 4889] 
4933 =  factors = [1, 7, 23, 4933] 
4937 =  factors = [1, 3, 23, 4937] 
4951 =  factors = [1, 3, 7, 23, 49, 163, 4951] 
4957 =  factors = [1, 3, 23, 49, 149, 4957] 
4973 =  factors = [1, 3, 23, 4973] 
4987 =  factors = [1, 3, 23, 4987] 
4993 =  factors = [1, 7, 49, 67, 499, 701, 4993] 
4999 =  factors = [1, 7, 49, 98, 627, 4999] 
5003 =  factors = [1, 3, 9, 27, 5003] 
5009 =  factors = [1, 7, 49, 5009] 
5011 =  factors = [1, 3, 9, 27, 5011] 
5021 =  factors = [1, 3, 9, 27, 5021] 
5023 =  factors = [1, 79, 496, 5023] 
5087 =  factors = [1, 29, 47, 94, 193, 5087] 
5099 =  factors = [1, 7, 49, 509] 
5101 =  factors = [1, 3, 9, 27, 5101] 
5107 =  factors = [1, 3, 9, 27, 5107] 
5113 =  factors = [1, 7, 49, 5113] 
5147 =  factors = [1, 3, 9, 27, 81, 243, 5147] 
5171 =  factors = [1, 3, 9, 27, 83, 246, 5171] 
5179 =  factors = [1, 3, 29, 5179] 
5189 =  factors = [1, 7, 49, 5189] 
5209 =  factors = [1, 7, 49, 5209] 
5227 =  factors = [1, 3, 9, 27, 5227] 
5231 =  factors = [1, 3, 9, 27, 5231] 
5233 =  factors = [1, 3, 9, 27, 5233] 
5261 =  factors = [1, 7, 49, 5261] 
5297 =  factors = [1, 3, 61, 5297] 
5333 =  factors = [1, 3, 9, 27, 5333] 
5347 =  factors = [1, 3, 9, 27, 5347] 
5351 =  factors = [1, 3, 9, 27, 81, 243, 5351] 
5387 =  factors = [1, 3, 9, 27, 5387] 
5393 =  factors = [1, 7, 41, 5393] 
5407 =  factors = [1, 3, 9, 27, 81, 5407] 
5417 =  factors = [1, 3, 9, 27, 81, 5417] 
5419 =  factors = [1, 7, 49, 5419] 
5431 =  factors = [1, 3, 9, 27, 81, 243, 543] 
5441 =  factors = [1, 7, 29, 37, 5441] 
5443 =  factors = [1, 7, 29, 5443] 
5471 =  factors = [1, 3, 9, 27, 81, 5471] 
5477 =  factors = [1, 3, 9, 27, 81, 5477] 
5483 =  factors = [1, 7, 29, 5483] 
5503 =  factors = [1, 3, 9, 27, 5503] 
5521 =  factors = [1, 7, 49, 57, 386, 5521] 
5527 =  factors = [1, 3, 9, 27, 5527] 
5581 =  factors = [1, 7, 49, 5581] 
5641 =  factors = [1, 7, 29, 5641] 
5651 =  factors = [1, 3, 9, 27, 81, 5651] 
5657 =  factors = [1, 3, 29, 589, 1793, 5657] 
5669 =  factors = [1, 7, 49, 5669] 
5689 =  factors = [1, 7, 49, 5689] 
5701 =  factors = [1, 3, 9, 27, 81, 5701] 
5711 =  factors = [1, 3, 9, 27, 83, 246, 5711] 
5737 =  factors = [1, 3, 9, 27, 81, 5737] 
5741 =  factors = [1, 3, 9, 27, 81, 243, 5741] 
5743 =  factors = [1, 3, 9, 27, 81, 5743] 
5749 =  factors = [1, 2, 3, 6, 9, 18, 5749] 
5783 =  factors = [1, 3, 9, 27, 5783] 
5791 =  factors = [1, 3, 61, 5791] 
5807 =  factors = [1, 3, 29, 5807] 
5821 =  factors = [1, 7, 49, 5821] 
5827 =  factors = [1, 3, 9, 27, 5827] 
5843 =  factors = [1, 7, 29, 5843] 
5851 =  factors = [1, 3, 9, 27, 5851] 
5879 =  factors = [1, 3, 29, 5879] 
5881 =  factors = [1, 7, 49, 5881] 
5897 =  factors = [1, 3, 29, 5897] 
5903 =  factors = [1, 3, 9, 27, 5903] 
5939 =  factors = [1, 7, 49, 5939] 
5953 =  factors = [1, 3, 9, 27, 5953] 
5981 =  factors = [1, 7, 49, 5981] 
6037 =  factors = [1, 3, 9, 27, 81, 243, 6037] 
6043 =  factors = [1, 79, 23, 3 * 2 * 79, 3 * 2 * 23] 
6047 =  factors = [1, 3, 9, 27, 81, 243, 6047] 
6053 =  factors = [1, 3, 9, 27, 81, 243, 6053] 
6073 =  factors = [1, 3, 9, 27, 81, 6073] 
6079 =  factors = [1, 3, 29, 6079] 
6089 =  factors = [2, 3, 9, 17, 43, 6089] 
6091 =  factors = [1, 7, 49, 609] 
6113 =  factors = [1, 7, 49, 6113] 
6121 =  factors = [1, 7, 49, 61, 87, 303, 6121] 
6133 =  factors = [1, 7, 29, 43, 6133] 
6143 =  factors = [1, 79, 23, 109, 47, 83, 589] 
6199 =  factors = [1, 3, 9, 27, 83, 243, 619] 
6203 =  factors = [1, 3, 9, 17, 51, 157, 509] 
6211 =  factors = [1, 3, 7, 9, 21, 33, 47, 6211] 
6247 =  factors = [1, 3, 9, 27, 81, 243, 6247] 
6257 =  factors = [1, 3, 9, 27, 81, 243, 6257] 
6263 =  factors = [1, 3, 9, 17, 51, 6263] 
6269 =  factors = [1, 3, 9, 17, 51, 6269] 
6271 =  factors = [1, 3, 9, 27, 81, 243, 6271] 
6311 =  factors = [1, 7, 19, 43, 6311] 
6323 =  factors = [1, 79, 486, 6323] 
6329 =  factors = [1, 7, 49, 63, 29, 189, 443] 
6337 =  factors = [1, 3, 9, 27, 81, 243, 633] 
6343 =  factors = [1, 79, 23, 3 * 3 * 3 * 3] 
6359 =  factors = [1, 3, 27, 823, 6359] 
6361 =  factors = [1, 7, 49, 6361] 
6373 =  factors = [1, 3, 9, 27, 81, 6373] 
6379 =  factors = [1, 3, 29, 6379] 
6427 =  factors = [1, 3, 9, 27, 81, 243, 6427] 
6449 =  factors = [2, 7, 13, 19, 38, 6449] 
6451 =  factors = [1, 3, 9, 27, 81, 243, 6451] 
6481 =  factors = [1, 7, 29, 37, 6481] 
6551 =  factors = [1, 3, 9, 27, 82, 246, 6551] 
6571 =  factors = [1, 3, 9, 27, 82, 246, 6571] 
6581 =  factors = [1, 7, 49, 6581] 
6599 =  factors = [1, 3, 9, 27, 82, 243, 659] 
6637 =  factors = [1, 3, 29, 6637] 
6673 =  factors = [1, 3, 9, 27, 83, 249, 6673] 
6679 =  factors = [1, 3, 23, 6679] 
6701 =  factors = [1, 3, 9, 27, 81, 243, 6701] 
6703 =  factors = [1, 3, 9, 27, 81, 243, 6703] 
6719 =  factors = [1, 3, 29, 6719] 
6733 =  factors = [1, 3, 9, 27, 81, 243, 673] 
6737 =  factors = [1, 3, 29, 89, 2301, 6737] 
6779 =  factors = [1, 3, 23, 6779] 
6781 =  factors = [1, 3, 9, 27, 83, 246, 6781] 
6791 =  factors = [1, 3, 23, 6791] 
6793 =  factors = [1, 3, 29, 83, 249, 6793] 
6803 =  factors = [1, 29, 78, 147, 343, 6803] 
6829 =  factors = [1, 7, 49, 6829] 
6841 =  factors = [1, 7, 49, 6841] 
6857 =  factors = [1, 3, 29, 47, 143, 6857] 
6911 =  factors = [1, 7, 11, 77, 827, 933, 6911] 
6917 =  factors = [1, 3, 29, 87, 233, 6917] 
6961 =  factors = [1, 7, 49, 6961] 
6983 =  factors = [1, 7, 23, 47, 6983] 
6991 =  factors = [1, 7, 47, 6991] 
6997 =  factors = [1, 3, 23, 69, 107, 323, 6997] 
7019 =  factors = [1, 3, 61, 7019] 
7039 =  factors = [1, 3, 29, 61, 7039] 
7057 =  factors = [1, 3, 29, 879, 7057] 
7079 =  factors = [1, 3, 29, 843, 7079] 
7103 =  factors = [1, 3, 9, 27, 81, 243, 7103] 
7151 =  factors = [1, 3, 9, 27, 81, 243, 7151] 
7177 =  factors = [1, 3, 9, 27, 81, 243, 7177] 
7187 =  factors = [1, 3, 9, 27, 33, 69, 7187] 
7207 =  factors = [1, 2, 3, 6, 9, 18, 36, 72, 7207] 
7213 =  factors = [1, 3, 9, 27, 81, 243, 7213] 
7237 =  factors = [1, 3, 9, 27, 81, 243, 723] 
7243 =  factors = [1, 3, 9, 27, 81, 243, 7243] 
7247 =  factors = [1, 3, 9, 27, 81, 243, 7247] 
7283 =  factors = [1, 3, 9, 27, 7283] 
7297 =  factors = [1, 3, 9, 27, 81, 243, 729] 
7309 =  factors = [1, 3, 9, 27, 81, 243, 7309] 
7321 =  factors = [1, 3, 9, 27, 81, 243, 729] 
7349 =  factors = [1, 3, 9, 27, 81, 243, 729] 
7369 =  factors = [1, 3, 9, 27, 81, 243, 729] 
7411 =  factors = [1, 3, 9, 27, 81, 243, 741] 
7417 =  factors = [1, 3, 9, 27, 81, 243, 7417] 
7433 =  factors = [1, 3, 9, 27, 81, 243, 743] 
7451 =  factors = [1, 3, 9, 27, 81, 243, 729] 
7457 =  factors = [1, 3, 29, 889, 7457] 
7481 =  factors = [1, 3, 9, 27, 33, 81, 243, 7481] 
7487 =  factors = [1, 2, 3, 6, 9, 18, 36, 7487] 
7489 =  factors = [1, 2, 3, 6, 9, 18, 27, 36, 54, 72, 81, 108, 144, 216, 354, 7489] 
7523 =  factors = [1, 3, 9, 27, 81, 243, 729] 
7529 =  factors = [1, 3, 9, 27, 81, 243, 729] 
7537 =  factors = [1, 3, 9, 27, 81, 243, 729] 
7549 =  factors = [1, 3, 27, 81, 243, 7549] 
7573 =  factors = [1, 3, 9, 27, 81, 243, 729] 
7583 =  factors = [1, 3, 9, 27, 81, 243, 729] 
7591 =  factors = [1, 3, 23, 69, 7591] 
7603 =  factors = [1, 3, 9, 27, 81, 243, 7603] 
7607 =  factors = [1, 3, 9, 27, 81, 243, 7607] 
7621 =  factors = [1, 3, 9, 27, 81, 243, 7621] 
7643 =  factors = [1, 2, 3, 9, 18, 27, 36, 54, 72, 81, 108, 144, 216, 351, 7643] 
7649 =  factors = [2, 3, 9803] 
7669 =  factors = [293, 38, 19, 7669] 
7673 =  factors = [1, 3, 9, 27, 81, 243, 7673] 
7681 =  factors = [1, 2, 4, 8, 16, 32, 64, 7681] 
7699 =  factors = [1, 3, 9, 27, 81, 243, 769] 
7703 =  factors = [1, 3, 9, 27, 81, 243, 7703] 
7717 =  factors = [1, 3, 29, 87, 261, 7717] 
7727 =  factors = [1, 3, 9, 27, 81, 243, 7727] 
7741 =  factors = [1, 3, 9, 27, 81, 243, 7741] 
7753 =  factors = [1, 3, 9, 27, 81, 243, 7753] 
7757 =  factors = [1, 3, 29, 89, 233, 7757] 
7829 =  factors = [1, 3, 9, 27, 81, 243, 7829] 
7853 =  factors = [1, 3, 9, 27, 81, 243, 7853] 
7873 =  factors = [1, 3, 9, 27, 33, 81, 243, 7873] 
